,COUNTYNAME,STATE,OCCUPATION_LEVEL,TOTALS,MALE,PERCENT_MALE,FEMALE,PERCENT FEMALE
13227,Hillsborough County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,64807,49531,76.4,15276,23.6
13228,Holmes County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,987,910,92.2,77,7.8
13229,Indian River County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,5483,4169,76,1314,24
13230,Jackson County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,2118,1628,76.9,490,23.1
13231,Jefferson County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,388,387,99.7,1,0.3
13232,Lafayette County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,445,389,87.4,56,12.6
13233,Lake County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,14199,11373,80.1,2826,19.9
13234,Lee County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,29655,23294,78.5,6361,21.5
13235,Leon County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,9247,7182,77.7,2065,22.3
13236,Levy County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,1654,1280,77.4,374,22.6
13237,Liberty County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,325,311,95.7,14,4.3
13238,Madison County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,1098,844,76.9,254,23.1
13239,Manatee County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,16794,12926,77,3868,23
13240,Marion County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,15390,11858,77.1,3532,22.9
13241,Martin County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,5189,3987,76.8,1202,23.2
13242,Miami-Dade County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,147876,114682,77.6,33194,22.4
13243,Monroe County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,3496,2557,73.1,939,26.9
13244,Nassau County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,4569,3707,81.1,862,18.9
13245,Okaloosa County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,7539,5820,77.2,1719,22.8
13246,Okeechobee County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,2238,1474,65.9,764,34.1
13247,Orange County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,69695,52924,75.9,16771,24.1
13248,Osceola County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,20743,16898,81.5,3845,18.5
13249,Palm Beach County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,56357,43854,77.8,12503,22.2
13250,Pasco County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,20321,16048,79,4273,21
13251,Pinellas County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,43830,32949,75.2,10881,24.8
13252,Polk County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,40849,32276,79,8573,21
13253,Putnam County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,3999,3092,77.3,907,22.7
13254,St. Johns County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,8109,6401,78.9,1708,21.1
13255,St. Lucie County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,15373,11939,77.7,3434,22.3
13256,Santa Rosa County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,7480,5900,78.9,1580,21.1
13257,Sarasota County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,15074,12033,79.8,3041,20.2
13258,Seminole County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,17931,14027,78.2,3904,21.8
13259,Sumter County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,3114,2622,84.2,492,15.8
13260,Suwannee County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,2623,2031,77.4,592,22.6
13261,Taylor County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,1139,848,74.5,291,25.5
13262,Union County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,663,502,75.7,161,24.3
13263,Volusia County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,24528,18622,75.9,5906,24.1
13264,Wakulla County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,940,802,85.3,138,14.7
13265,Walton County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,2101,1645,78.3,456,21.7
13266,Washington County,FL,PRODUCTION_TRANSPORTATION_MATERIAL,1103,792,71.8,311,28.2
13267,Appling County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1519,1129,74.3,390,25.7
13268,Atkinson County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,867,637,73.5,230,26.5
13269,Bacon County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,733,508,69.3,225,30.7
13270,Baker County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,244,187,76.6,57,23.4
13271,Baldwin County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2679,2119,79.1,560,20.9
13272,Banks County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1684,1195,71,489,29
13273,Barrow County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,6461,4807,74.4,1654,25.6
13274,Bartow County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,9332,6908,74,2424,26
13275,Ben Hill County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1810,1373,75.9,437,24.1
13276,Berrien County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1676,1065,63.5,611,36.5
13277,Bibb County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,8442,6132,72.6,2310,27.4
13278,Bleckley County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,618,471,76.2,147,23.8
13279,Brantley County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1232,720,58.4,512,41.6
13280,Brooks County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1104,918,83.2,186,16.8
13281,Bryan County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1814,1384,76.3,430,23.7
13282,Bulloch County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,5065,3813,75.3,1252,24.7
13283,Burke County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2140,1587,74.2,553,25.8
13284,Butts County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1644,1247,75.9,397,24.1
13285,Calhoun County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,275,210,76.4,65,23.6
13286,Camden County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2764,2179,78.8,585,21.2
13287,Candler County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,899,597,66.4,302,33.6
13288,Carroll County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,10456,7827,74.9,2629,25.1
13289,Catoosa County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,5679,4251,74.9,1428,25.1
13290,Charlton County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,950,818,86.1,132,13.9
13291,Chatham County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,18200,13759,75.6,4441,24.4
13292,Chattahoochee County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,284,235,82.7,49,17.3
13293,Chattooga County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2966,1826,61.6,1140,38.4
13294,Cherokee County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,11315,8152,72,3163,28
13295,Clarke County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,8020,5398,67.3,2622,32.7
13296,Clay County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,176,166,94.3,10,5.7
13297,Clayton County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,27306,18835,69,8471,31
13298,Clinch County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,504,348,69,156,31
13299,Cobb County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,36205,26587,73.4,9618,26.6
13300,Coffee County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,3654,2646,72.4,1008,27.6
13301,Colquitt County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,3615,2661,73.6,954,26.4
13302,Columbia County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,6486,5134,79.2,1352,20.8
13303,Cook County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1499,1119,74.6,380,25.4
13304,Coweta County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,11148,7747,69.5,3401,30.5
13305,Crawford County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,663,418,63,245,37
13306,Crisp County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1534,1243,81,291,19
13307,Dade County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1225,892,72.8,333,27.2
13308,Dawson County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1686,1451,86.1,235,13.9
13309,Decatur County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1803,1431,79.4,372,20.6
13310,DeKalb County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,44970,32121,71.4,12849,28.6
13311,Dodge County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1553,1221,78.6,332,21.4
13312,Dooly County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1261,950,75.3,311,24.7
13313,Dougherty County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,6149,4057,66,2092,34
13314,Douglas County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,11461,8795,76.7,2666,23.3
13315,Early County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,702,501,71.4,201,28.6
13316,Echols County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,317,253,79.8,64,20.2
13317,Effingham County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,5673,4589,80.9,1084,19.1
13318,Elbert County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2231,1452,65.1,779,34.9
13319,Emanuel County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1831,1242,67.8,589,32.2
13320,Evans County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,897,607,67.7,290,32.3
13321,Fannin County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1065,804,75.5,261,24.5
13322,Fayette County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,6464,5067,78.4,1397,21.6
13323,Floyd County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,8004,5874,73.4,2130,26.6
13324,Forsyth County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,8309,6089,73.3,2220,26.7
13325,Franklin County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2002,1517,75.8,485,24.2
13326,Fulton County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,45605,32134,70.5,13471,29.5
13327,Gilmer County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2154,1734,80.5,420,19.5
13328,Glascock County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,290,187,64.5,103,35.5
13329,Glynn County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,5218,3662,70.2,1556,29.8
13330,Gordon County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,7052,4982,70.6,2070,29.4
13331,Grady County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1665,1197,71.9,468,28.1
13332,Greene County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,866,721,83.3,145,16.7
13333,Gwinnett County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,52674,37805,71.8,14869,28.2
13334,Habersham County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,3990,2728,68.4,1262,31.6
13335,Hall County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,21569,15109,70,6460,30
13336,Hancock County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,283,167,59,116,41
13337,Haralson County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2433,2030,83.4,403,16.6
13338,Harris County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2280,1884,82.6,396,17.4
13339,Hart County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2276,1664,73.1,612,26.9
13340,Heard County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1238,959,77.5,279,22.5
13341,Henry County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,16880,12633,74.8,4247,25.2
13342,Houston County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,8471,6324,74.7,2147,25.3
13343,Irwin County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,727,597,82.1,130,17.9
13344,Jackson County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,5132,4006,78.1,1126,21.9
13345,Jasper County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1191,882,74.1,309,25.9
13346,Jeff Davis County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1071,876,81.8,195,18.2
13347,Jefferson County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1775,1248,70.3,527,29.7
13348,Jenkins County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,751,542,72.2,209,27.8
13349,Johnson County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1109,965,87,144,13
13350,Jones County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1903,1549,81.4,354,18.6
13351,Lamar County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1670,1319,79,351,21
13352,Lanier County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,565,469,83,96,17
13353,Laurens County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,3326,2670,80.3,656,19.7
13354,Lee County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1646,1185,72,461,28
13355,Liberty County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,3969,2764,69.6,1205,30.4
13356,Lincoln County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,674,553,82,121,18
13357,Long County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1356,1158,85.4,198,14.6
13358,Lowndes County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,6900,5222,75.7,1678,24.3
13359,Lumpkin County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2833,1979,69.9,854,30.1
13360,McDuffie County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1825,1336,73.2,489,26.8
13361,McIntosh County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1070,774,72.3,296,27.7
13362,Macon County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1484,899,60.6,585,39.4
13363,Madison County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2466,1958,79.4,508,20.6
13364,Marion County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,691,505,73.1,186,26.9
13365,Meriwether County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2069,1515,73.2,554,26.8
13366,Miller County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,369,300,81.3,69,18.7
13367,Mitchell County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1973,1455,73.7,518,26.3
13368,Monroe County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1577,1189,75.4,388,24.6
13369,Montgomery County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,650,527,81.1,123,18.9
13370,Morgan County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1467,967,65.9,500,34.1
13371,Murray County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,5722,4127,72.1,1595,27.9
13372,Muscogee County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,11699,8694,74.3,3005,25.7
13373,Newton County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,9109,6920,76,2189,24
13374,Oconee County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1787,1360,76.1,427,23.9
13375,Oglethorpe County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1452,1000,68.9,452,31.1
13376,Paulding County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,10462,8118,77.6,2344,22.4
13377,Peach County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1719,1336,77.7,383,22.3
13378,Pickens County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1999,1698,84.9,301,15.1
13379,Pierce County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1644,1429,86.9,215,13.1
13380,Pike County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1424,1116,78.4,308,21.6
13381,Polk County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,5002,3578,71.5,1424,28.5
13382,Pulaski County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,710,457,64.4,253,35.6
13383,Putnam County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2074,1416,68.3,658,31.7
13384,Quitman County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,295,200,67.8,95,32.2
13385,Rabun County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,723,459,63.5,264,36.5
13386,Randolph County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,604,464,76.8,140,23.2
13387,Richmond County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,12095,8905,73.6,3190,26.4
13388,Rockdale County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,6613,4871,73.7,1742,26.3
13389,Schley County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,398,370,93,28,7
13390,Screven County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1299,1028,79.1,271,20.9
13391,Seminole County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,520,424,81.5,96,18.5
13392,Spalding County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,5229,3873,74.1,1356,25.9
13393,Stephens County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2407,1859,77.2,548,22.8
13394,Stewart County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,343,275,80.2,68,19.8
13395,Sumter County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2790,2211,79.2,579,20.8
13396,Talbot County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,793,491,61.9,302,38.1
13397,Taliaferro County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,177,147,83.1,30,16.9
13398,Tattnall County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1000,774,77.4,226,22.6
13399,Taylor County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,535,308,57.6,227,42.4
13400,Telfair County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1486,1288,86.7,198,13.3
13401,Terrell County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,667,479,71.8,188,28.2
13402,Thomas County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2710,2094,77.3,616,22.7
13403,Tift County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2929,2001,68.3,928,31.7
13404,Toombs County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1697,1138,67.1,559,32.9
13405,Towns County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,413,371,89.8,42,10.2
13406,Treutlen County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,558,466,83.5,92,16.5
13407,Troup County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,8369,5466,65.3,2903,34.7
13408,Turner County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,493,381,77.3,112,22.7
13409,Twiggs County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,487,392,80.5,95,19.5
13410,Union County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,812,612,75.4,200,24.6
13411,Upson County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2005,1472,73.4,533,26.6
13412,Walker County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,6226,4781,76.8,1445,23.2
13413,Walton County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,6452,4941,76.6,1511,23.4
13414,Ware County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2559,1967,76.9,592,23.1
13415,Warren County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,663,458,69.1,205,30.9
13416,Washington County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1365,1117,81.8,248,18.2
13417,Wayne County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1949,1515,77.7,434,22.3
13418,Webster County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,211,174,82.5,37,17.5
13419,Wheeler County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,391,316,80.8,75,19.2
13420,White County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1835,1504,82,331,18
13421,Whitfield County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,16650,11666,70.1,4984,29.9
13422,Wilcox County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,360,239,66.4,121,33.6
13423,Wilkes County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,1072,830,77.4,242,22.6
13424,Wilkinson County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,619,505,81.6,114,18.4
13425,Worth County,GA,PRODUCTION_TRANSPORTATION_MATERIAL,2002,1421,71,581,29
13426,Hawaii County,HI,PRODUCTION_TRANSPORTATION_MATERIAL,8214,5561,67.7,2653,32.3
13427,Honolulu County,HI,PRODUCTION_TRANSPORTATION_MATERIAL,45958,34432,74.9,11526,25.1
13428,Kalawao County,HI,PRODUCTION_TRANSPORTATION_MATERIAL,7,7,100,0,0
13429,Kauai County,HI,PRODUCTION_TRANSPORTATION_MATERIAL,3501,2408,68.8,1093,31.2
13430,Maui County,HI,PRODUCTION_TRANSPORTATION_MATERIAL,7816,5613,71.8,2203,28.2
13431,Ada County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,20053,16232,80.9,3821,19.1
13432,Adams County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,181,171,94.5,10,5.5
13433,Bannock County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,4885,3855,78.9,1030,21.1
13434,Bear Lake County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,320,286,89.4,34,10.6
13435,Benewah County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,717,594,82.8,123,17.2
13436,Bingham County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,3106,2632,84.7,474,15.3
13437,Blaine County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,1221,961,78.7,260,21.3
13438,Boise County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,313,255,81.5,58,18.5
13439,Bonner County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,3485,2727,78.2,758,21.8
13440,Bonneville County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,6490,5284,81.4,1206,18.6
13441,Boundary County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,700,620,88.6,80,11.4
13442,Butte County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,150,113,75.3,37,24.7
13443,Camas County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,32,32,100,0,0
13444,Canyon County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,14993,11278,75.2,3715,24.8
13445,Caribou County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,498,447,89.8,51,10.2
13446,Cassia County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,2175,1619,74.4,556,25.6
13447,Clark County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,77,76,98.7,1,1.3
13448,Clearwater County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,471,401,85.1,70,14.9
13449,Custer County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,135,108,80,27,20
13450,Elmore County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,1700,1262,74.2,438,25.8
13451,Franklin County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,1234,914,74.1,320,25.9
13452,Fremont County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,813,630,77.5,183,22.5
13453,Gem County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,1029,800,77.7,229,22.3
13454,Gooding County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,1079,777,72,302,28
13455,Idaho County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,917,751,81.9,166,18.1
13456,Jefferson County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,1839,1500,81.6,339,18.4
13457,Jerome County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,2135,1562,73.2,573,26.8
13458,Kootenai County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,8796,6848,77.9,1948,22.1
13459,Latah County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,2166,1756,81.1,410,18.9
13460,Lemhi County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,421,381,90.5,40,9.5
13461,Lewis County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,232,191,82.3,41,17.7
13462,Lincoln County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,410,320,78,90,22
13463,Madison County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,2094,1604,76.6,490,23.4
13464,Minidoka County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,2227,1594,71.6,633,28.4
13465,Nez Perce County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,3181,2464,77.5,717,22.5
13466,Oneida County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,365,296,81.1,69,18.9
13467,Owyhee County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,823,667,81,156,19
13468,Payette County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,1996,1543,77.3,453,22.7
13469,Power County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,633,564,89.1,69,10.9
13470,Shoshone County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,636,528,83,108,17
13471,Teton County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,392,267,68.1,125,31.9
13472,Twin Falls County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,6911,5014,72.6,1897,27.4
13473,Valley County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,523,457,87.4,66,12.6
13474,Washington County,ID,PRODUCTION_TRANSPORTATION_MATERIAL,733,584,79.7,149,20.3
13475,Adams County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,5512,4617,83.8,895,16.2
13476,Alexander County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,394,345,87.6,49,12.4
13477,Bond County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,1539,1088,70.7,451,29.3
13478,Boone County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,5755,4001,69.5,1754,30.5
13479,Brown County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,604,466,77.2,138,22.8
13480,Bureau County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,3606,2812,78,794,22
13481,Calhoun County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,270,224,83,46,17
13482,Carroll County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,1636,1201,73.4,435,26.6
13483,Cass County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,1716,1228,71.6,488,28.4
13484,Champaign County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,12409,9046,72.9,3363,27.1
13485,Christian County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,2618,2162,82.6,456,17.4
13486,Clark County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,1918,1385,72.2,533,27.8
13487,Clay County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,1724,1188,68.9,536,31.1
13488,Clinton County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,3355,2739,81.6,616,18.4
13489,Coles County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,4806,3586,74.6,1220,25.4
13490,Cook County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,357972,268771,75.1,89201,24.9
13491,Crawford County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,1828,1324,72.4,504,27.6
13492,Cumberland County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,1234,1072,86.9,162,13.1
13493,DeKalb County,IL,PRODUCTION_TRANSPORTATION_MATERIAL,7761,5618,72.4,2143,27.6
