,COUNTYNAME,STATE,Total_POPULATION,TOTAL_NATIVE,TOTAL_FOREIGN_BORN_NATURALIZED_CITIZEN,TOTAL_FOREIGN_BORN_NOT_US_CITIZEN
465,Charles Mix County,SD,8571,8535,34,2
466,Charleston County,SC,371032,351688,7903,11441
467,Charlevoix County,MI,25050,24576,229,245
468,Charlotte County,FL,171568,153269,10829,7470
469,Charlotte County,VA,11380,11248,64,68
470,Charlottesville city,VA,44468,38546,2119,3803
471,Charlton County,GA,12313,11111,75,1127
472,Chase County,KS,2502,2478,17,7
473,Chase County,NE,3575,3279,20,276
474,Chatham County,GA,268384,250686,7267,10431
475,Chatham County,NC,66338,60303,2311,3724
476,Chattahoochee County,GA,9875,9232,364,279
477,Chattooga County,GA,23442,22768,145,529
478,Chautauqua County,KS,3185,3173,12,0
479,Chautauqua County,NY,122614,119638,1441,1535
480,Chaves County,NM,60982,52643,3422,4917
481,Cheatham County,TN,37820,36884,479,457
482,Cheboygan County,MI,24489,24127,246,116
483,Chelan County,WA,70977,62174,3233,5570
484,Chemung County,NY,80665,78129,1450,1086
485,Chenango County,NY,45752,45003,434,315
486,Cherokee County,AL,24649,24444,130,75
487,Cherokee County,GA,227091,205872,8863,12356
488,Cherokee County,IA,10769,10678,50,41
489,Cherokee County,KS,19229,18970,90,169
490,Cherokee County,NC,26539,25821,416,302
491,Cherokee County,OK,45618,43932,373,1313
492,Cherokee County,SC,53433,52271,501,661
493,Cherokee County,TX,48252,43126,1288,3838
494,Cherry County,NE,5383,5226,32,125
495,Chesapeake city,VA,222754,209402,8488,4864
496,Cheshire County,NH,72770,70337,1566,867
497,Chester County,PA,488080,439050,21079,27951
498,Chester County,SC,30408,30109,215,84
499,Chester County,TN,16190,15916,115,159
500,Chesterfield County,SC,43409,41982,362,1065
501,Chesterfield County,VA,319229,290889,14622,13718
502,Cheyenne County,CO,1823,1666,68,89
503,Cheyenne County,KS,2533,2433,17,83
504,Cheyenne County,NE,9181,8984,21,176
505,Chickasaw County,IA,11405,11150,40,215
506,Chickasaw County,MS,16041,15699,93,249
507,Chicot County,AR,10175,9951,73,151
508,Childress County,TX,6881,6139,300,442
509,Chilton County,AL,41163,39193,346,1624
510,Chippewa County,MI,35992,34994,469,529
511,Chippewa County,MN,11177,10493,158,526
512,Chippewa County,WI,60042,59243,375,424
513,Chisago County,MN,51667,50724,492,451
514,Chittenden County,VT,154365,139936,7581,6848
515,Choctaw County,AL,12404,12339,40,25
516,Choctaw County,MS,7863,7834,12,17
517,Choctaw County,OK,13894,13741,51,102
518,Chouteau County,MT,5475,5377,58,40
519,Chowan County,NC,13541,13219,264,58
520,Christian County,IL,31524,31122,178,224
521,Christian County,KY,65436,63222,1161,1053
522,Christian County,MO,78948,77368,732,848
523,Churchill County,NV,22389,20503,687,1199
524,Ciales Municipio,PR,16001,15955,31,15
525,Cibola County,NM,25146,24320,272,554
526,Cidra Municipio,PR,38362,38031,157,174
527,Cimarron County,OK,2041,1873,57,111
528,Citrus County,FL,137633,129529,5191,2913
529,Clackamas County,OR,383760,351244,18717,13799
530,Claiborne County,MS,8591,8493,44,54
531,Claiborne County,TN,30054,29654,114,286
532,Claiborne Parish,LA,15327,15167,41,119
533,Clallam County,WA,70874,66769,2276,1829
534,Clare County,MI,28968,28480,366,122
535,Clarendon County,SC,32352,31805,145,402
536,Clarion County,PA,36867,36361,252,254
537,Clark County,AR,21199,20573,200,426
538,Clark County,ID,977,674,25,278
539,Clark County,IL,14909,14731,60,118
540,Clark County,IN,108393,104297,2012,2084
541,Clark County,KS,1916,1859,21,36
542,Clark County,KY,33686,32946,238,502
543,Clark County,MO,6393,6355,7,31
544,Clark County,NV,2004526,1531037,231043,242446
545,Clark County,OH,127221,124228,1251,1742
546,Clark County,SD,3335,3310,14,11
547,Clark County,WA,436250,388005,27109,21136
548,Clark County,WI,31651,30769,234,648
549,Clarke County,AL,23023,22930,67,26
550,Clarke County,GA,117825,105698,3549,8578
551,Clarke County,IA,8638,7996,119,523
552,Clarke County,MS,15038,14998,40,0
553,Clarke County,VA,13695,13171,273,251
554,Clatsop County,OR,36517,34619,693,1205
555,Clay County,AL,12708,12447,85,176
556,Clay County,AR,14220,14105,73,42
557,Clay County,FL,195720,181316,9549,4855
558,Clay County,GA,2854,2818,12,24
559,Clay County,IA,15277,14893,145,239
560,Clay County,IL,12582,12452,57,73
561,Clay County,IN,24721,24502,159,60
562,Clay County,KS,7632,7470,125,37
563,Clay County,KY,19393,19229,69,95
564,Clay County,MN,58288,55631,1203,1454
565,Clay County,MO,223493,212229,6968,4296
566,Clay County,MS,18681,18619,11,51
567,Clay County,NC,10412,10068,124,220
568,Clay County,NE,5820,5590,99,131
569,Clay County,SD,13212,12773,122,317
570,Clay County,TN,7298,7263,27,8
571,Clay County,TX,9923,9643,51,229
572,Clay County,WV,8284,8284,0,0
573,Clayton County,GA,257262,219860,17810,19592
574,Clayton County,IA,16678,16281,188,209
575,Clear Creek County,CO,9029,8724,44,261
576,Clearfield County,PA,76542,74109,441,1992
577,Clearwater County,ID,8329,8130,81,118
578,Clearwater County,MN,8270,8175,44,51
579,Cleburne County,AL,14117,13892,48,177
580,Cleburne County,AR,24071,23711,157,203
581,Clermont County,OH,191243,186738,2429,2076
582,Cleveland County,AR,7789,7657,49,83
583,Cleveland County,NC,91770,89462,893,1415
584,Cleveland County,OK,261278,244059,8823,8396
585,Clinch County,GA,6178,5980,74,124
586,Clinton County,IA,44402,43610,316,476
587,Clinton County,IL,35552,34960,227,365
588,Clinton County,IN,30084,27836,544,1704
589,Clinton County,KY,9515,9439,6,70
590,Clinton County,MI,73567,71076,1161,1330
591,Clinton County,MO,19371,19143,125,103
592,Clinton County,NY,76849,73228,1846,1775
593,Clinton County,OH,39330,38733,292,305
594,Clinton County,PA,36989,36461,279,249
595,Cloud County,KS,8454,8275,84,95
596,Coahoma County,MS,21836,21737,42,57
597,Coal County,OK,5257,5219,30,8
598,Coamo Municipio,PR,37466,37154,198,114
599,Cobb County,GA,697400,582000,53297,62103
600,Cochise County,AZ,118634,104798,7544,6292
601,Cochran County,TX,2689,2282,76,331
602,Cocke County,TN,33527,33309,126,92
603,Coconino County,AZ,132357,125577,2739,4041
604,Codington County,SD,26209,25745,217,247
605,Coffee County,AL,48110,46320,824,966
606,Coffee County,GA,40047,37450,952,1645
607,Coffee County,TN,51087,49600,381,1106
608,Coffey County,KS,7834,7773,36,25
609,Coke County,TX,3172,3065,86,21
610,Colbert County,AL,51397,50492,349,556
611,Cole County,MO,72084,69799,1215,1070
612,Coleman County,TX,7887,7560,91,236
613,Coles County,IL,49306,48099,433,774
614,Colfax County,NE,9808,6612,897,2299
615,Colfax County,NM,11735,11300,175,260
616,Colleton County,SC,35449,34416,173,860
617,Collier County,FL,347226,257005,38615,51606
618,Collin County,TX,884492,690884,90600,103008
619,Collingsworth County,TX,2811,2487,88,236
620,Colonial Heights city,VA,16365,15023,878,464
621,Colorado County,TX,19659,17540,673,1446
622,Colquitt County,GA,42411,37633,911,3867
