,COUNTYNAME,STATE,Total_POPULATION,TOTAL_NATIVE,TOTAL_FOREIGN_BORN_NATURALIZED_CITIZEN,TOTAL_FOREIGN_BORN_NOT_US_CITIZEN
2468,Rio Arriba County,NM,36679,35238,546,895
2469,Rio Blanco County,CO,6044,5875,44,125
2470,Rio Grande County,CO,10658,10125,121,412
2471,Ripley County,IN,26814,26400,208,206
2472,Ripley County,MO,12788,12712,53,23
2473,Ritchie County,WV,9449,9350,43,56
2474,Riverside County,CA,2225278,1711032,252914,261332
2475,Roane County,TN,50554,49708,480,366
2476,Roane County,WV,13492,13393,64,35
2477,Roanoke County,VA,89186,84431,2824,1931
2478,Roanoke city,VA,92717,85279,1809,5629
2479,Roberts County,SD,9484,9366,39,79
2480,Roberts County,TX,853,826,27,0
2481,Robertson County,KY,2042,2041,1,0
2482,Robertson County,TN,64936,62051,697,2188
2483,Robertson County,TX,15911,14882,291,738
2484,Robeson County,NC,124405,118813,1335,4257
2485,Rock County,MN,8804,8640,90,74
2486,Rock County,NE,1277,1269,8,0
2487,Rock County,WI,151918,144597,3074,4247
2488,Rock Island County,IL,136094,124614,4613,6867
2489,Rockbridge County,VA,21381,20865,318,198
2490,Rockcastle County,KY,15931,15902,20,9
2491,Rockdale County,GA,83766,74835,5601,3330
2492,Rockingham County,NC,86565,83215,1373,1977
2493,Rockingham County,NH,291081,276489,9209,5383
2494,Rockingham County,VA,75044,70452,1939,2653
2495,Rockland County,NY,298618,231605,39271,27742
2496,Rockwall County,TX,87816,79443,3826,4547
2497,Roger Mills County,OK,3472,3405,20,47
2498,Rogers County,OK,85501,83358,1098,1045
2499,Rolette County,ND,13178,13114,57,7
2500,Rooks County,KS,4781,4739,33,9
2501,Roosevelt County,MT,10205,10093,40,72
2502,Roosevelt County,NM,17694,15587,641,1466
2503,Roscommon County,MI,23026,22614,267,145
2504,Roseau County,MN,14538,13949,366,223
2505,Rosebud County,MT,8567,8448,41,78
2506,Ross County,OH,72889,72122,418,349
2507,Routt County,CO,23820,22362,692,766
2508,Rowan County,KY,23180,22599,211,370
2509,Rowan County,NC,131730,125532,2024,4174
2510,Runnels County,TX,9737,9311,232,194
2511,Rush County,IN,15779,15666,53,60
2512,Rush County,KS,2948,2911,37,0
2513,Rusk County,TX,50428,46687,1063,2678
2514,Rusk County,WI,13499,13295,113,91
2515,Russell County,AL,53955,52474,628,853
2516,Russell County,KS,6564,6452,28,84
2517,Russell County,KY,16689,16200,152,337
2518,Russell County,VA,26142,25968,123,51
2519,Rutherford County,NC,63139,61550,871,718
2520,Rutherford County,TN,286853,265129,9461,12263
2521,Rutland County,VT,56671,55165,984,522
2522,Sabana Grande Municipio,PR,21954,21851,40,63
2523,Sabine County,TX,10008,9889,75,44
2524,Sabine Parish,LA,22588,22310,108,170
2525,Sac County,IA,9310,9158,62,90
2526,Sacramento County,CA,1410667,1098647,178779,133241
2527,Sagadahoc County,ME,33493,32174,761,558
2528,Saginaw County,MI,181778,177053,2310,2415
2529,Saguache County,CO,6141,5443,247,451
2530,Salem County,NJ,59908,57043,1243,1622
2531,Salem city,VA,24048,23393,283,372
2532,Salinas Municipio,PR,27204,27000,128,76
2533,Saline County,AR,111043,107424,1635,1984
2534,Saline County,IL,22759,22513,194,52
2535,Saline County,KS,51510,48226,1559,1725
2536,Saline County,MO,21671,20235,498,938
2537,Saline County,NE,13376,11243,679,1454
2538,Salt Lake County,UT,1033315,891516,54361,87438
2539,Saluda County,SC,19050,17354,281,1415
2540,Sampson County,NC,59470,53239,1232,4999
2541,San Augustine County,TX,7933,7614,98,221
2542,San Benito County,CA,55514,43461,5145,6908
2543,San Bernardino County,CA,1980797,1534168,220147,226482
2544,San Diego County,CA,3090864,2321176,408638,361050
2545,San Francisco County,CA,830525,531978,187670,110877
2546,San Jacinto County,TX,26277,24932,352,993
2547,San Joaquin County,CA,679489,509509,82346,87634
2548,San Juan County,CO,529,511,18,0
2549,San Juan County,NM,118427,114430,1177,2820
2550,San Juan County,UT,14067,13929,26,112
2551,San Juan County,WA,15999,14765,656,578
2552,San Juan Municipio,PR,328657,288035,18286,22336
2553,San Lorenzo Municipio,PR,36195,35773,278,144
2554,San Luis Obispo County,CA,267998,238938,14089,14971
2555,San Mateo County,CA,721160,455761,152594,112805
2556,San Miguel County,CO,7648,6971,239,438
2557,San Miguel County,NM,26697,25699,299,699
2558,San Patricio County,TX,62099,58106,1261,2732
2559,San Saba County,TX,5647,4969,150,528
2560,Sanborn County,SD,2208,2183,10,15
2561,Sanders County,MT,10990,10748,145,97
2562,Sandoval County,NM,132963,124990,4977,2996
2563,Sandusky County,OH,55960,55152,464,344
2564,Sangamon County,IL,186238,180207,2884,3147
2565,Sanilac County,MI,39229,38448,406,375
2566,Sanpete County,UT,27507,26202,452,853
2567,Santa Barbara County,CA,415382,314221,34423,66738
2568,Santa Clara County,CA,1803512,1065882,394607,343023
2569,Santa Cruz County,AZ,43242,28425,8433,6384
2570,Santa Cruz County,CA,259230,210331,18250,30649
2571,Santa Fe County,NM,142248,123629,5778,12841
2572,Santa Isabel Municipio,PR,20969,20919,25,25
2573,Santa Rosa County,FL,160714,152565,5183,2966
2574,Sarasota County,FL,397262,346617,28552,22093
2575,Saratoga County,NY,215599,203741,6428,5430
2576,Sargent County,ND,3687,3560,31,96
2577,Sarpy County,NE,164992,155938,4590,4464
2578,Sauk County,WI,59768,57976,749,1043
2579,Saunders County,NE,19683,19413,125,145
2580,Sawyer County,WI,15580,15337,149,94
2581,Schenectady County,NY,145866,129430,10937,5499
2582,Schleicher County,TX,2874,2498,166,210
2583,Schley County,GA,4939,4895,16,28
2584,Schoharie County,NY,30014,29135,606,273
2585,Schoolcraft County,MI,7743,7679,54,10
2586,Schuyler County,IL,6764,6644,5,115
2587,Schuyler County,MO,4142,4122,14,6
2588,Schuyler County,NY,17077,16796,190,91
2589,Schuylkill County,PA,136500,133863,1473,1164
2590,Scioto County,OH,72088,71376,367,345
2591,Scotland County,MO,4494,4484,10,0
2592,Scotland County,NC,33060,32254,322,484
2593,Scott County,AR,9649,9444,132,73
2594,Scott County,IA,161103,153918,3201,3984
2595,Scott County,IL,4802,4759,15,28
2596,Scott County,IN,22323,22012,114,197
2597,Scott County,KS,4597,4140,119,338
2598,Scott County,KY,49987,48098,522,1367
2599,Scott County,MN,133156,120173,8008,4975
2600,Scott County,MO,36253,35752,201,300
2601,Scott County,MS,26232,24249,203,1780
2602,Scott County,TN,20619,20559,16,44
2603,Scott County,VA,21124,20860,126,138
2604,Scotts Bluff County,NE,33844,32384,589,871
2605,Screven County,GA,13115,12874,178,63
2606,Scurry County,TX,16058,14970,425,663
2607,Searcy County,AR,7548,7474,44,30
2608,Sebastian County,AR,119084,107611,5177,6296
2609,Sedgwick County,CO,2196,2126,28,42
2610,Sedgwick County,KS,474981,432092,19704,23185
2611,Seminole County,FL,430971,370757,37008,23206
2612,Seminole County,GA,7969,7893,31,45
2613,Seminole County,OK,23407,22973,149,285
2614,Seneca County,NY,32715,31948,463,304
2615,Seneca County,OH,52604,51627,365,612
2616,Sequatchie County,TN,13984,13717,33,234
2617,Sequoyah County,OK,38836,38141,239,456
2618,Sevier County,AR,15835,13065,575,2195
2619,Sevier County,TN,91120,86325,1335,3460
2620,Sevier County,UT,19621,19212,166,243
2621,Seward County,KS,20694,13848,2260,4586
2622,Seward County,NE,16097,15831,135,131
2623,Shackelford County,TX,3104,3012,50,42
2624,Shannon County,MO,7795,7786,7,2
2625,Sharkey County,MS,4294,4218,18,58
2626,Sharp County,AR,16217,16086,63,68
2627,Shasta County,CA,168565,158821,4815,4929
2628,Shawano County,WI,38809,38316,234,259
2629,Shawnee County,KS,166762,159573,2881,4308
2630,Sheboygan County,WI,108767,102172,3996,2599
2631,Shelby County,AL,198761,187771,3981,7009
2632,Shelby County,IA,11083,10889,83,111
2633,Shelby County,IL,20653,20588,24,41
2634,Shelby County,IN,41892,40867,158,867
2635,Shelby County,KY,43633,40685,692,2256
2636,Shelby County,MO,5689,5670,13,6
2637,Shelby County,OH,45713,44790,438,485
2638,Shelby County,TN,870329,810678,20674,38977
2639,Shelby County,TX,23697,21243,310,2144
2640,Shenandoah County,VA,40597,38683,809,1105
2641,Sherburne County,MN,87015,83944,1786,1285
2642,Sheridan County,KS,2363,2293,8,62
2643,Sheridan County,MT,3342,3259,43,40
2644,Sheridan County,ND,1330,1322,3,5
2645,Sheridan County,NE,4968,4881,54,33
2646,Sheridan County,WY,28389,27746,349,294
2647,Sherman County,KS,5553,5403,91,59
2648,Sherman County,NE,2900,2850,27,23
2649,Sherman County,OR,1540,1523,5,12
2650,Sherman County,TX,2868,2374,136,358
2651,Shiawassee County,MI,64896,64261,363,272
2652,Shoshone County,ID,11758,11566,78,114
2653,Sibley County,MN,14061,13253,231,577
2654,Sierra County,CA,2818,2753,26,39
2655,Sierra County,NM,10617,10122,247,248
2656,Silver Bow County,MT,32690,31832,345,513
2657,Simpson County,KY,16859,16489,130,240
2658,Simpson County,MS,25501,25325,110,66
2659,Sioux County,IA,32245,30164,618,1463
2660,Sioux County,ND,3981,3976,4,1
2661,Sioux County,NE,1157,1155,0,2
2662,Siskiyou County,CA,41283,39028,1242,1013
2663,Sitka City and Borough,AK,8326,7633,338,355
2664,Skagit County,WA,116335,103494,4929,7912
2665,Skagway Municipality,AK,995,923,32,40
2666,Skamania County,WA,11100,10626,204,270
2667,Slope County,ND,655,654,0,1
2668,Smith County,KS,3486,3472,7,7
2669,Smith County,MS,15160,15049,65,46
2670,Smith County,TN,18376,18103,118,155
2671,Smith County,TX,209519,190612,7050,11857
2672,Smyth County,VA,29587,29147,98,342
2673,Snohomish County,WA,736692,614011,64363,58318
2674,Snyder County,PA,38340,37735,350,255
2675,Socorro County,NM,16410,15447,383,580
2676,Solano County,CA,411824,324399,52000,35425
2677,Somerset County,MD,24533,22955,881,697
2678,Somerset County,ME,48381,47557,492,332
2679,Somerset County,NJ,312851,230892,49545,32414
2680,Somerset County,PA,71515,70822,328,365
2681,Somervell County,TX,8239,7916,189,134
2682,Sonoma County,CA,475581,392927,35365,47289
2683,Southampton County,VA,17082,16984,46,52
2684,Southeast Fairbanks Census Area,AK,6367,5687,451,229
2685,Spalding County,GA,60752,58878,798,1076
2686,Spartanburg County,SC,283872,264672,8696,10504
2687,Spencer County,IN,19400,19109,155,136
2688,Spencer County,KY,17262,17051,108,103
2689,Spink County,SD,6142,6095,35,12
2690,Spokane County,WA,467275,440546,14806,11923
2691,Spotsylvania County,VA,123196,113813,5354,4029
2692,St. Bernard Parish,LA,42250,39916,1016,1318
2693,St. Charles County,MO,366307,350720,7530,8057
2694,St. Charles Parish,LA,49362,47504,950,908
2695,St. Clair County,AL,82065,80572,607,886
2696,St. Clair County,IL,246742,239110,3683,3949
2697,St. Clair County,MI,151468,147231,2589,1648
2698,St. Clair County,MO,8895,8782,74,39
2699,St. Croix County,WI,82436,80267,1383,786
2700,St. Francis County,AR,24656,24277,54,325
2701,St. Francois County,MO,62824,62150,237,437
2702,St. Helena Parish,LA,9834,9784,26,24
2703,St. James Parish,LA,20079,19933,36,110
2704,St. John the Baptist Parish,LA,40612,39074,554,984
2705,St. Johns County,FL,223554,206821,11367,5366
2706,St. Joseph County,IN,251797,234717,7116,9964
2707,St. Joseph County,MI,56866,54830,583,1453
2708,St. Landry Parish,LA,77109,76106,268,735
2709,St. Lawrence County,NY,103744,99104,2081,2559
2710,St. Louis County,MN,189797,185215,2410,2172
2711,St. Louis County,MO,940035,868353,38144,33538
2712,St. Louis city,MO,291095,270246,9313,11536
2713,St. Lucie County,FL,289671,239137,29995,20539
2714,St. Martin Parish,LA,50143,49190,291,662
2715,St. Mary Parish,LA,48181,46192,541,1448
2716,St. Mary's County,MD,104353,99027,2973,2353
2717,St. Tammany Parish,LA,236911,227226,4749,4936
2718,Stafford County,KS,3971,3748,118,105
2719,Stafford County,VA,134776,121869,7912,4995
2720,Stanislaus County,CA,499891,389386,49095,61410
2721,Stanley County,SD,2773,2760,13,0
2722,Stanly County,NC,57675,55829,709,1137
2723,Stanton County,KS,1931,1670,89,172
2724,Stanton County,NE,5586,5345,158,83
2725,Stark County,IL,5190,5110,31,49
2726,Stark County,ND,28392,27388,288,716
2727,Stark County,OH,352441,344568,4585,3288
2728,Starke County,IN,21663,21158,301,204
2729,Starr County,TX,57434,38277,5688,13469
2730,Staunton city,VA,23011,22084,345,582
2731,Ste. Genevieve County,MO,17000,16828,99,73
2732,Stearns County,MN,146839,136517,3662,6660
2733,Steele County,MN,34315,32776,866,673
2734,Steele County,ND,1824,1802,22,0
2735,Stephens County,GA,24192,23653,150,389
2736,Stephens County,OK,41358,40102,504,752
2737,Stephens County,TX,8893,8479,143,271
2738,Stephenson County,IL,42920,41897,523,500
2739,Sterling County,TX,1072,1004,19,49
2740,Steuben County,IN,32550,31782,206,562
2741,Steuben County,NY,91514,88792,1318,1404
2742,Stevens County,KS,5256,4213,171,872
2743,Stevens County,MN,9251,8748,182,321
2744,Stevens County,WA,41813,40501,767,545
2745,Stewart County,GA,5830,3885,34,1911
2746,Stewart County,TN,12529,12261,147,121
2747,Stillwater County,MT,8970,8830,64,76
2748,Stoddard County,MO,27736,27583,72,81
2749,Stokes County,NC,43854,43148,219,487
2750,Stone County,AR,11871,11826,36,9
2751,Stone County,MO,30321,29730,398,193
2752,Stone County,MS,17417,17281,83,53
2753,Stonewall County,TX,1322,1314,2,6
2754,Storey County,NV,3793,3699,28,66
2755,Story County,IA,92378,83053,2003,7322
2756,Strafford County,NH,122051,115121,3031,3899
2757,Stutsman County,ND,19862,19472,83,307
2758,Sublette County,WY,9319,9010,208,101
2759,Suffolk County,MA,749199,515000,111324,122875
2760,Suffolk County,NY,1407674,1178204,126919,102551
2761,Suffolk city,VA,83163,80002,1951,1210
2762,Sullivan County,IN,19742,19577,141,24
2763,Sullivan County,MO,5927,5351,355,221
2764,Sullivan County,NH,41119,39926,894,299
2765,Sullivan County,NY,70982,64012,3577,3393
2766,Sullivan County,PA,5975,5870,42,63
2767,Sullivan County,TN,148948,146328,1330,1290
2768,Sully County,SD,1277,1277,0,0
2769,Summers County,WV,12525,12426,68,31
2770,Summit County,CO,29119,25854,906,2359
2771,Summit County,OH,511203,484350,13761,13092
2772,Summit County,UT,38413,34504,1307,2602
2773,Sumner County,KS,21809,21583,119,107
2774,Sumner County,TN,168519,161294,3401,3824
2775,Sumter County,AL,12283,12015,12,256
2776,Sumter County,FL,118857,112009,4500,2348
2777,Sumter County,GA,28471,27321,376,774
2778,Sumter County,SC,99941,96406,1463,2072
2779,Sunflower County,MS,24968,24854,73,41
2780,Surry County,NC,68389,64668,1310,2411
2781,Surry County,VA,6313,6227,29,57
2782,Susquehanna County,PA,39472,38781,477,214
2783,Sussex County,DE,208224,192777,6738,8709
2784,Sussex County,NJ,135850,124630,8092,3128
2785,Sussex County,VA,11003,10719,108,176
2786,Sutter County,CA,89258,67970,10753,10535
2787,Sutton County,TX,3612,3098,222,292
2788,Suwannee County,FL,41767,39498,747,1522
2789,Swain County,NC,13356,12971,146,239
2790,Sweet Grass County,MT,3490,3458,13,19
2791,Sweetwater County,WY,40962,38644,707,1611
2792,Swift County,MN,8857,8631,39,187
2793,Swisher County,TX,7007,6285,219,503
2794,Switzerland County,IN,9965,9750,145,70
2795,Talbot County,GA,6121,6055,56,10
2796,Talbot County,MD,35478,33221,945,1312
2797,Taliaferro County,GA,1607,1568,20,19
2798,Talladega County,AL,76264,74873,506,885
2799,Tallahatchie County,MS,13608,12887,132,589
2800,Tallapoosa County,AL,38425,37828,288,309
2801,Tama County,IA,16057,15312,259,486
2802,Taney County,MO,51498,49585,774,1139
2803,Tangipahoa Parish,LA,121084,118265,1068,1751
2804,Taos County,NM,31380,29561,830,989
2805,Tarrant County,TX,1875483,1553744,125743,195996
2806,Tate County,MS,26860,26311,264,285
2807,Tattnall County,GA,23977,22809,222,946
2808,Taylor County,FL,21070,20435,345,290
2809,Taylor County,GA,7789,7679,44,66
2810,Taylor County,IA,5860,5620,63,177
2811,Taylor County,KY,23727,23281,91,355
2812,Taylor County,TX,126286,118180,3686,4420
2813,Taylor County,WI,19196,18882,107,207
2814,Taylor County,WV,16020,15857,84,79
2815,Tazewell County,IL,125847,123231,1362,1254
2816,Tazewell County,VA,39943,39553,118,272
2817,Tehama County,CA,59506,53947,2474,3085
2818,Telfair County,GA,15480,13426,50,2004
2819,Teller County,CO,23135,22325,543,267
2820,Tensas Parish,LA,4365,4337,20,8
2821,Terrebonne Parish,LA,104551,100876,1583,2092
2822,Terrell County,GA,8306,8114,25,167
2823,Terrell County,TX,854,825,0,29
2824,Terry County,TX,11607,10309,455,843
2825,Teton County,ID,10296,9340,262,694
2826,Teton County,MT,5684,5589,66,29
2827,Teton County,WY,21903,19325,578,2000
2828,Texas County,MO,24265,24032,194,39
2829,Texas County,OK,19373,13922,1082,4369
2830,Thayer County,NE,4791,4760,16,15
2831,Thomas County,GA,41868,40837,272,759
2832,Thomas County,KS,7251,6962,85,204
2833,Thomas County,NE,615,611,0,4
2834,Throckmorton County,TX,1483,1477,6,0
2835,Thurston County,NE,6455,6350,24,81
2836,Thurston County,WA,258564,237313,12794,8457
2837,Tift County,GA,37697,35573,632,1492
2838,Tillamook County,OR,24854,23469,407,978
2839,Tillman County,OK,7081,6585,146,350
2840,Tioga County,NY,46463,45603,528,332
2841,Tioga County,PA,39050,38531,312,207
2842,Tippah County,MS,20621,20143,183,295
2843,Tippecanoe County,IN,177957,156472,5186,16299
2844,Tipton County,IN,14472,14269,69,134
2845,Tipton County,TN,57655,56655,652,348
2846,Tishomingo County,MS,18387,18079,41,267
2847,Titus County,TX,30196,23824,1634,4738
2848,Toa Alta Municipio,PR,70046,69027,570,449
2849,Toa Baja Municipio,PR,75940,73982,926,1032
2850,Todd County,KY,11463,11165,69,229
2851,Todd County,MN,22808,21974,195,639
2852,Todd County,SD,8895,8705,35,155
2853,Tolland County,CT,145137,134515,5757,4865
2854,Tom Green County,TX,109421,101709,4045,3667
2855,Tompkins County,NY,98708,85339,5093,8276
2856,Tooele County,UT,59763,57121,984,1658
2857,Toole County,MT,4730,4553,161,16
2858,Toombs County,GA,25129,23467,473,1189
2859,Torrance County,NM,14854,13980,299,575
2860,Towner County,ND,2142,2057,8,77
2861,Towns County,GA,11025,10680,241,104
2862,Traill County,ND,7535,7408,47,80
2863,Transylvania County,NC,32103,30844,484,775
2864,Traverse County,MN,3177,3118,20,39
2865,Travis County,TX,1124415,913606,73880,136929
2866,Treasure County,MT,745,738,7,0
2867,Trego County,KS,2728,2683,38,7
2868,Trempealeau County,WI,27414,26175,364,875
2869,Treutlen County,GA,6274,5965,36,273
2870,Trigg County,KY,13518,13353,128,37
2871,Trimble County,KY,8179,8068,12,99
2872,Trinity County,CA,12291,11713,236,342
2873,Trinity County,TX,13897,13218,206,473
2874,Tripp County,SD,5115,5057,18,40
2875,Troup County,GA,65214,62483,918,1813
2876,Trousdale County,TN,8979,8893,16,70
2877,Trujillo Alto Municipio,PR,64789,62787,1180,822
2878,Trumbull County,OH,191178,188097,2389,692
2879,Tucker County,WV,6702,6665,37,0
2880,Tulare County,CA,421973,320154,33064,68755
2881,Tulsa County,OK,596140,539906,17675,38559
2882,Tunica County,MS,9265,9009,38,218
2883,Tuolumne County,CA,51543,49114,1639,790
2884,Turner County,GA,7422,7343,45,34
2885,Turner County,SD,7761,7698,16,47
2886,Tuscaloosa County,AL,193865,186417,2420,5028
2887,Tuscarawas County,OH,86811,85310,507,994
2888,Tuscola County,MI,50554,50112,227,215
2889,Twiggs County,GA,7849,7741,0,108
2890,Twin Falls County,ID,77364,70362,2209,4793
2891,Tyler County,TX,20427,19973,109,345
2892,Tyler County,WV,8447,8383,8,56
2893,Tyrrell County,NC,4002,3900,20,82
2894,Uinta County,WY,19107,18464,110,533
2895,Uintah County,UT,32920,32102,386,432
2896,Ulster County,NY,171353,157341,8073,5939
2897,Umatilla County,OR,71658,63275,2318,6065
2898,Unicoi County,TN,17055,16590,83,382
2899,Union County,AR,37115,36230,241,644
2900,Union County,FL,14390,13966,131,293
2901,Union County,GA,21839,21188,315,336
2902,Union County,IA,11732,11433,158,141
2903,Union County,IL,16220,15680,243,297
2904,Union County,IN,6729,6627,11,91
2905,Union County,KY,14025,13814,73,138
2906,Union County,MS,26617,25943,211,463
2907,Union County,NC,213399,193085,9357,10957
2908,Union County,NJ,518010,353329,86448,78233
2909,Union County,NM,3941,3637,82,222
2910,Union County,OH,52235,49785,1307,1143
2911,Union County,OR,24454,23509,257,688
2912,Union County,PA,43010,41717,637,656
2913,Union County,SC,26099,25928,43,128
2914,Union County,SD,14307,13982,133,192
2915,Union County,TN,18227,18096,15,116
2916,Union Parish,LA,21175,20708,74,393
2917,Upshur County,TX,38221,36869,372,980
2918,Upshur County,WV,23253,23116,21,116
2919,Upson County,GA,24420,24020,178,222
2920,Upton County,TX,3293,2909,117,267
2921,Utah County,UT,532520,489977,15437,27106
2922,Utuado Municipio,PR,28041,27989,17,35
2923,Uvalde County,TX,25003,21536,1405,2062
2924,Val Verde County,TX,44835,34020,4634,6181
2925,Valdez-Cordova Census Area,AK,8719,8130,262,327
2926,Valencia County,NM,71628,65791,2336,3501
2927,Valley County,ID,9910,9850,47,13
2928,Valley County,MT,7098,6960,77,61
2929,Valley County,NE,3956,3914,23,19
2930,Van Buren County,AR,15880,15697,62,121
2931,Van Buren County,IA,6786,6707,75,4
2932,Van Buren County,MI,70712,67130,1295,2287
2933,Van Buren County,TN,5411,5336,39,36
2934,Van Wert County,OH,26602,26444,77,81
2935,Van Zandt County,TX,51338,48989,970,1379
2936,Vance County,NC,41718,39525,586,1607
2937,Vanderburgh County,IN,170237,165178,2199,2860
2938,Vega Alta Municipio,PR,35867,35233,322,312
2939,Vega Baja Municipio,PR,50835,50513,143,179
2940,Venango County,PA,49726,49347,265,114
2941,Ventura County,CA,796403,610279,90473,95651
2942,Vermilion County,IL,73265,71624,704,937
2943,Vermilion Parish,LA,55761,54300,582,879
2944,Vermillion County,IN,14736,14589,49,98
2945,Vernon County,MO,19435,19170,149,116
2946,Vernon County,WI,28403,28025,228,150
2947,Vernon Parish,LA,46689,44628,1403,658
2948,Victoria County,TX,85402,79279,2211,3912
2949,Vieques Municipio,PR,8282,8260,15,7
2950,Vigo County,IN,101403,97867,1241,2295
2951,Vilas County,WI,20781,20388,269,124
2952,Villalba Municipio,PR,21754,21676,18,60
2953,Vinton County,OH,12412,12368,14,30
2954,Virginia Beach city,VA,421289,379461,26017,15811
2955,Volusia County,FL,502616,462393,23915,16308
2956,Wabash County,IL,10842,10618,67,157
2957,Wabash County,IN,30007,29544,230,233
2958,Wabasha County,MN,20310,19891,172,247
2959,Wabaunsee County,KS,6458,6410,36,12
2960,Wadena County,MN,12758,12649,77,32
2961,Wagoner County,OK,73058,70099,1248,1711
2962,Wahkiakum County,WA,4049,3917,71,61
2963,Wake County,NC,980169,843284,59073,77812
2964,Wakulla County,FL,30324,29652,388,284
2965,Waldo County,ME,37617,36690,492,435
2966,Walker County,AL,60507,59604,348,555
2967,Walker County,GA,64971,64073,318,580
2968,Walker County,TX,68419,62460,1727,4232
2969,Walla Walla County,WA,56866,50785,1941,4140
2970,Wallace County,KS,1470,1415,26,29
2971,Waller County,TX,46616,39308,1863,5445
2972,Wallowa County,OR,6598,6435,101,62
2973,Walsh County,ND,10079,9641,145,293
2974,Walthall County,MS,13719,13642,15,62
2975,Walton County,FL,61982,58189,2150,1643
2976,Walton County,GA,84570,79978,2893,1699
2977,Walworth County,SD,5161,4990,22,149
2978,Walworth County,WI,97694,91323,2480,3891
2979,Wapello County,IA,33123,30477,822,1824
2980,Ward County,ND,63668,60435,1145,2088
2981,Ward County,TX,10738,9746,438,554
2982,Ware County,GA,33188,32282,176,730
2983,Warren County,GA,5064,4986,27,51
2984,Warren County,IA,46418,45773,384,261
2985,Warren County,IL,16258,15410,202,646
2986,Warren County,IN,7788,7746,16,26
2987,Warren County,KY,118345,106703,3782,7860
2988,Warren County,MO,31646,31054,423,169
2989,Warren County,MS,44093,43144,722,227
2990,Warren County,NC,19176,18525,290,361
2991,Warren County,NJ,101422,91200,6036,4186
2992,Warren County,NY,61644,59258,1460,926
2993,Warren County,OH,213318,198748,7562,7008
2994,Warren County,PA,38062,37614,283,165
2995,Warren County,TN,38022,35829,545,1648
2996,Warren County,VA,37075,35796,726,553
2997,Warrick County,IN,58477,56326,1143,1008
2998,Wasatch County,UT,28130,25832,847,1451
2999,Wasco County,OR,24231,22066,545,1620
3000,Waseca County,MN,17722,17052,347,323
3001,Washakie County,WY,7695,7585,42,68
3002,Washburn County,WI,14964,14796,87,81
3003,Washington County,AL,16027,15852,114,61
3004,Washington County,AR,212436,187597,6212,18627
3005,Washington County,CO,4596,4444,51,101
3006,Washington County,FL,23310,22493,325,492
3007,Washington County,GA,19303,18926,60,317
3008,Washington County,IA,20634,19847,435,352
3009,Washington County,ID,9555,8916,123,516
3010,Washington County,IL,13387,13271,71,45
3011,Washington County,IN,26237,26074,127,36
3012,Washington County,KS,5167,5032,35,100
3013,Washington County,KY,11330,11008,59,263
3014,Washington County,MD,141155,133755,3993,3407
3015,Washington County,ME,30181,28874,747,560
3016,Washington County,MN,237969,220790,10941,6238
3017,Washington County,MO,23479,23421,13,45
3018,Washington County,MS,43472,42844,194,434
3019,Washington County,NC,11520,11213,37,270
3020,Washington County,NE,19049,18811,83,155
3021,Washington County,NY,58893,57561,866,466
3022,Washington County,OH,57692,56880,388,424
3023,Washington County,OK,48692,46346,853,1493
3024,Washington County,OR,545330,444590,44822,55918
3025,Washington County,PA,197027,193069,2298,1660
3026,Washington County,RI,121572,115621,3904,2047
3027,Washington County,TN,120549,115481,1689,3379
3028,Washington County,TX,32663,30001,859,1803
3029,Washington County,UT,149275,140611,3651,5013
3030,Washington County,VA,52106,51303,464,339
3031,Washington County,VT,55674,54020,1119,535
3032,Washington County,WI,127363,123660,2466,1237
3033,Washington Parish,LA,43555,42880,208,467
3034,Washita County,OK,10652,10352,83,217
3035,Washoe County,NV,423307,360307,29877,33123
3036,Washtenaw County,MI,347678,302618,20548,24512
3037,Watauga County,NC,52329,50675,759,895
3038,Watonwan County,MN,10166,8796,356,1014
3039,Waukesha County,WI,378381,357905,11901,8575
3040,Waupaca County,WI,48996,47954,389,653
3041,Waushara County,WI,22959,22233,298,428
3042,Wayne County,GA,27705,26846,246,613
3043,Wayne County,IA,5949,5875,60,14
3044,Wayne County,IL,15454,15343,31,80
3045,Wayne County,IN,62757,61274,746,737
3046,Wayne County,KY,19509,19233,67,209
3047,Wayne County,MI,1645986,1490377,86727,68882
3048,Wayne County,MO,12630,12540,52,38
3049,Wayne County,MS,19017,18991,0,26
3050,Wayne County,NC,115664,106168,2507,6989
3051,Wayne County,NE,8865,8603,122,140
3052,Wayne County,NY,85874,83339,1688,847
3053,Wayne County,OH,108336,105802,1291,1243
3054,Wayne County,PA,49351,47866,1043,442
3055,Wayne County,TN,15837,15699,82,56
3056,Wayne County,UT,2539,2422,49,68
3057,Wayne County,WV,38542,38214,167,161
3058,Waynesboro city,VA,20520,19612,295,613
3059,Weakley County,TN,31902,31329,222,351
3060,Webb County,TX,245507,174619,20313,50575
3061,Weber County,UT,228212,210555,6688,10969
3062,Webster County,GA,2553,2453,78,22
3063,Webster County,IA,34587,33626,303,658
3064,Webster County,KY,12390,11933,121,336
3065,Webster County,MO,35294,34935,234,125
3066,Webster County,MS,9226,9156,53,17
3067,Webster County,NE,3396,3362,27,7
3068,Webster County,WV,8073,8049,24,0
3069,Webster Parish,LA,37137,36784,211,142
3070,Weld County,CO,273535,247904,8744,16887
3071,Wells County,IN,26113,25719,238,156
