,COUNTYNAME,STATE,EDUCATION_LEVEL,PERCENT TOTAL
17200,Hansford County,TX,EDUCATION_BACHELORS,10.3
17201,Hanson County,SD,EDUCATION_BACHELORS,16.1
17202,Haralson County,GA,EDUCATION_BACHELORS,8.2
17203,Hardee County,FL,EDUCATION_BACHELORS,7.1
17204,Hardeman County,TN,EDUCATION_BACHELORS,7.3
17205,Hardeman County,TX,EDUCATION_BACHELORS,10.4
17206,Hardin County,IA,EDUCATION_BACHELORS,13.3
17207,Hardin County,IL,EDUCATION_BACHELORS,8.9
17208,Hardin County,KY,EDUCATION_BACHELORS,12.8
17209,Hardin County,OH,EDUCATION_BACHELORS,9.9
17210,Hardin County,TN,EDUCATION_BACHELORS,9.4
17211,Hardin County,TX,EDUCATION_BACHELORS,10.8
17212,Harding County,NM,EDUCATION_BACHELORS,18.5
17213,Harding County,SD,EDUCATION_BACHELORS,21.7
17214,Hardy County,WV,EDUCATION_BACHELORS,8.4
17215,Harford County,MD,EDUCATION_BACHELORS,21.1
17216,Harlan County,KY,EDUCATION_BACHELORS,5.7
17217,Harlan County,NE,EDUCATION_BACHELORS,16.4
17218,Harmon County,OK,EDUCATION_BACHELORS,15.5
17219,Harnett County,NC,EDUCATION_BACHELORS,13.7
17220,Harney County,OR,EDUCATION_BACHELORS,11.1
17221,Harper County,KS,EDUCATION_BACHELORS,10.5
17222,Harper County,OK,EDUCATION_BACHELORS,15.3
17223,Harris County,GA,EDUCATION_BACHELORS,18.0
17224,Harris County,TX,EDUCATION_BACHELORS,19.8
17225,Harrison County,IA,EDUCATION_BACHELORS,13.8
17226,Harrison County,IN,EDUCATION_BACHELORS,10.9
17227,Harrison County,KY,EDUCATION_BACHELORS,8.3
17228,Harrison County,MO,EDUCATION_BACHELORS,10.7
17229,Harrison County,MS,EDUCATION_BACHELORS,14.1
17230,Harrison County,OH,EDUCATION_BACHELORS,6.3
17231,Harrison County,TX,EDUCATION_BACHELORS,13.3
17232,Harrison County,WV,EDUCATION_BACHELORS,14.0
17233,Harrisonburg city,VA,EDUCATION_BACHELORS,20.5
17234,Hart County,GA,EDUCATION_BACHELORS,9.1
17235,Hart County,KY,EDUCATION_BACHELORS,6.6
17236,Hartford County,CT,EDUCATION_BACHELORS,21.5
17237,Hartley County,TX,EDUCATION_BACHELORS,12.8
17238,Harvey County,KS,EDUCATION_BACHELORS,18.9
17239,Haskell County,KS,EDUCATION_BACHELORS,11.8
17240,Haskell County,OK,EDUCATION_BACHELORS,11.1
17241,Haskell County,TX,EDUCATION_BACHELORS,9.2
17242,Hatillo Municipio,PR,EDUCATION_BACHELORS,18.0
17243,Hawaii County,HI,EDUCATION_BACHELORS,19.6
17244,Hawkins County,TN,EDUCATION_BACHELORS,9.5
17245,Hayes County,NE,EDUCATION_BACHELORS,15.8
17246,Hays County,TX,EDUCATION_BACHELORS,24.6
17247,Haywood County,NC,EDUCATION_BACHELORS,15.0
17248,Haywood County,TN,EDUCATION_BACHELORS,7.3
17249,Heard County,GA,EDUCATION_BACHELORS,5.0
17250,Hemphill County,TX,EDUCATION_BACHELORS,16.3
17251,Hempstead County,AR,EDUCATION_BACHELORS,9.5
17252,Henderson County,IL,EDUCATION_BACHELORS,11.5
17253,Henderson County,KY,EDUCATION_BACHELORS,10.2
17254,Henderson County,NC,EDUCATION_BACHELORS,20.8
17255,Henderson County,TN,EDUCATION_BACHELORS,10.0
17256,Henderson County,TX,EDUCATION_BACHELORS,12.1
17257,Hendricks County,IN,EDUCATION_BACHELORS,24.0
17258,Hendry County,FL,EDUCATION_BACHELORS,4.6
17259,Hennepin County,MN,EDUCATION_BACHELORS,31.2
17260,Henrico County,VA,EDUCATION_BACHELORS,26.4
17261,Henry County,AL,EDUCATION_BACHELORS,10.7
17262,Henry County,GA,EDUCATION_BACHELORS,17.7
17263,Henry County,IA,EDUCATION_BACHELORS,15.1
17264,Henry County,IL,EDUCATION_BACHELORS,15.1
17265,Henry County,IN,EDUCATION_BACHELORS,11.3
17266,Henry County,KY,EDUCATION_BACHELORS,7.3
17267,Henry County,MO,EDUCATION_BACHELORS,10.5
17268,Henry County,OH,EDUCATION_BACHELORS,11.6
17269,Henry County,TN,EDUCATION_BACHELORS,10.1
17270,Henry County,VA,EDUCATION_BACHELORS,8.3
17271,Herkimer County,NY,EDUCATION_BACHELORS,12.1
17272,Hernando County,FL,EDUCATION_BACHELORS,11.7
17273,Hertford County,NC,EDUCATION_BACHELORS,9.4
17274,Hettinger County,ND,EDUCATION_BACHELORS,11.3
17275,Hickman County,KY,EDUCATION_BACHELORS,12.0
17276,Hickman County,TN,EDUCATION_BACHELORS,7.4
17277,Hickory County,MO,EDUCATION_BACHELORS,6.3
17278,Hidalgo County,NM,EDUCATION_BACHELORS,9.2
17279,Hidalgo County,TX,EDUCATION_BACHELORS,13.0
17280,Highland County,OH,EDUCATION_BACHELORS,6.9
17281,Highland County,VA,EDUCATION_BACHELORS,13.5
17282,Highlands County,FL,EDUCATION_BACHELORS,10.8
17283,Hill County,MT,EDUCATION_BACHELORS,18.3
17284,Hill County,TX,EDUCATION_BACHELORS,11.8
17285,Hillsborough County,FL,EDUCATION_BACHELORS,20.8
17286,Hillsborough County,NH,EDUCATION_BACHELORS,23.8
17287,Hillsdale County,MI,EDUCATION_BACHELORS,10.8
17288,Hinds County,MS,EDUCATION_BACHELORS,17.1
17289,Hinsdale County,CO,EDUCATION_BACHELORS,32.4
17290,Hitchcock County,NE,EDUCATION_BACHELORS,12.8
17291,Hocking County,OH,EDUCATION_BACHELORS,10.0
17292,Hockley County,TX,EDUCATION_BACHELORS,9.6
17293,Hodgeman County,KS,EDUCATION_BACHELORS,18.4
17294,Hoke County,NC,EDUCATION_BACHELORS,12.7
17295,Holmes County,FL,EDUCATION_BACHELORS,7.3
17296,Holmes County,MS,EDUCATION_BACHELORS,6.5
17297,Holmes County,OH,EDUCATION_BACHELORS,6.2
17298,Holt County,MO,EDUCATION_BACHELORS,13.7
17299,Holt County,NE,EDUCATION_BACHELORS,15.5
17300,Honolulu County,HI,EDUCATION_BACHELORS,22.5
17301,Hood County,TX,EDUCATION_BACHELORS,17.4
17302,Hood River County,OR,EDUCATION_BACHELORS,17.7
17303,Hooker County,NE,EDUCATION_BACHELORS,17.0
17304,Hoonah-Angoon Census Area,AK,EDUCATION_BACHELORS,17.5
17305,Hopewell city,VA,EDUCATION_BACHELORS,9.3
17306,Hopkins County,KY,EDUCATION_BACHELORS,9.1
17307,Hopkins County,TX,EDUCATION_BACHELORS,12.5
17308,Hormigueros Municipio,PR,EDUCATION_BACHELORS,17.3
17309,Horry County,SC,EDUCATION_BACHELORS,15.5
17310,Hot Spring County,AR,EDUCATION_BACHELORS,9.8
17311,Hot Springs County,WY,EDUCATION_BACHELORS,14.4
17312,Houghton County,MI,EDUCATION_BACHELORS,18.8
17313,Houston County,AL,EDUCATION_BACHELORS,13.3
17314,Houston County,GA,EDUCATION_BACHELORS,16.2
17315,Houston County,MN,EDUCATION_BACHELORS,17.1
17316,Houston County,TN,EDUCATION_BACHELORS,7.6
17317,Houston County,TX,EDUCATION_BACHELORS,10.7
17318,Howard County,AR,EDUCATION_BACHELORS,11.2
17319,Howard County,IA,EDUCATION_BACHELORS,9.8
17320,Howard County,IN,EDUCATION_BACHELORS,13.8
17321,Howard County,MD,EDUCATION_BACHELORS,30.3
17322,Howard County,MO,EDUCATION_BACHELORS,15.0
17323,Howard County,NE,EDUCATION_BACHELORS,15.5
17324,Howard County,TX,EDUCATION_BACHELORS,8.7
17325,Howell County,MO,EDUCATION_BACHELORS,9.1
17326,Hubbard County,MN,EDUCATION_BACHELORS,18.5
17327,Hudson County,NJ,EDUCATION_BACHELORS,25.6
17328,Hudspeth County,TX,EDUCATION_BACHELORS,6.3
17329,Huerfano County,CO,EDUCATION_BACHELORS,15.4
17330,Hughes County,OK,EDUCATION_BACHELORS,8.1
17331,Hughes County,SD,EDUCATION_BACHELORS,25.1
17332,Humacao Municipio,PR,EDUCATION_BACHELORS,16.8
17333,Humboldt County,CA,EDUCATION_BACHELORS,19.6
17334,Humboldt County,IA,EDUCATION_BACHELORS,16.3
17335,Humboldt County,NV,EDUCATION_BACHELORS,9.8
17336,Humphreys County,MS,EDUCATION_BACHELORS,7.7
17337,Humphreys County,TN,EDUCATION_BACHELORS,8.1
17338,Hunt County,TX,EDUCATION_BACHELORS,12.5
17339,Hunterdon County,NJ,EDUCATION_BACHELORS,30.7
17340,Huntingdon County,PA,EDUCATION_BACHELORS,11.3
17341,Huntington County,IN,EDUCATION_BACHELORS,12.3
17342,Huron County,MI,EDUCATION_BACHELORS,10.4
17343,Huron County,OH,EDUCATION_BACHELORS,8.9
17344,Hutchinson County,SD,EDUCATION_BACHELORS,19.4
17345,Hutchinson County,TX,EDUCATION_BACHELORS,9.7
17346,Hyde County,NC,EDUCATION_BACHELORS,6.9
17347,Hyde County,SD,EDUCATION_BACHELORS,16.7
17348,Iberia Parish,LA,EDUCATION_BACHELORS,9.0
17349,Iberville Parish,LA,EDUCATION_BACHELORS,10.8
17350,Ida County,IA,EDUCATION_BACHELORS,15.5
17351,Idaho County,ID,EDUCATION_BACHELORS,15.0
17352,Imperial County,CA,EDUCATION_BACHELORS,9.9
17353,Independence County,AR,EDUCATION_BACHELORS,12.1
17354,Indian River County,FL,EDUCATION_BACHELORS,17.3
17355,Indiana County,PA,EDUCATION_BACHELORS,13.3
17356,Ingham County,MI,EDUCATION_BACHELORS,20.9
17357,Inyo County,CA,EDUCATION_BACHELORS,16.1
17358,Ionia County,MI,EDUCATION_BACHELORS,11.5
17359,Iosco County,MI,EDUCATION_BACHELORS,10.2
17360,Iowa County,IA,EDUCATION_BACHELORS,13.5
17361,Iowa County,WI,EDUCATION_BACHELORS,15.7
17362,Iredell County,NC,EDUCATION_BACHELORS,19.1
17363,Irion County,TX,EDUCATION_BACHELORS,11.9
17364,Iron County,MI,EDUCATION_BACHELORS,11.9
17365,Iron County,MO,EDUCATION_BACHELORS,7.6
17366,Iron County,UT,EDUCATION_BACHELORS,19.2
17367,Iron County,WI,EDUCATION_BACHELORS,13.8
17368,Iroquois County,IL,EDUCATION_BACHELORS,10.3
17369,Irwin County,GA,EDUCATION_BACHELORS,9.1
17370,Isabela Municipio,PR,EDUCATION_BACHELORS,15.6
17371,Isabella County,MI,EDUCATION_BACHELORS,16.2
17372,Isanti County,MN,EDUCATION_BACHELORS,12.5
17373,Island County,WA,EDUCATION_BACHELORS,20.3
17374,Isle of Wight County,VA,EDUCATION_BACHELORS,16.2
17375,Issaquena County,MS,EDUCATION_BACHELORS,2.8
17376,Itasca County,MN,EDUCATION_BACHELORS,16.0
17377,Itawamba County,MS,EDUCATION_BACHELORS,8.5
17378,Izard County,AR,EDUCATION_BACHELORS,9.9
17379,Jack County,TX,EDUCATION_BACHELORS,8.3
17380,Jackson County,AL,EDUCATION_BACHELORS,9.3
17381,Jackson County,AR,EDUCATION_BACHELORS,6.2
17382,Jackson County,CO,EDUCATION_BACHELORS,13.1
17383,Jackson County,FL,EDUCATION_BACHELORS,8.0
17384,Jackson County,GA,EDUCATION_BACHELORS,13.5
17385,Jackson County,IA,EDUCATION_BACHELORS,12.5
17386,Jackson County,IL,EDUCATION_BACHELORS,16.9
17387,Jackson County,IN,EDUCATION_BACHELORS,9.7
17388,Jackson County,KS,EDUCATION_BACHELORS,14.2
17389,Jackson County,KY,EDUCATION_BACHELORS,7.4
17390,Jackson County,MI,EDUCATION_BACHELORS,14.7
17391,Jackson County,MN,EDUCATION_BACHELORS,17.3
17392,Jackson County,MO,EDUCATION_BACHELORS,19.7
17393,Jackson County,MS,EDUCATION_BACHELORS,13.0
17394,Jackson County,NC,EDUCATION_BACHELORS,16.4
17395,Jackson County,OH,EDUCATION_BACHELORS,10.4
17396,Jackson County,OK,EDUCATION_BACHELORS,13.2
17397,Jackson County,OR,EDUCATION_BACHELORS,17.0
17398,Jackson County,SD,EDUCATION_BACHELORS,14.7
17399,Jackson County,TN,EDUCATION_BACHELORS,5.8
17400,Jackson County,TX,EDUCATION_BACHELORS,12.0
17401,Jackson County,WI,EDUCATION_BACHELORS,9.1
17402,Jackson County,WV,EDUCATION_BACHELORS,10.9
17403,Jackson Parish,LA,EDUCATION_BACHELORS,9.6
17404,James City County,VA,EDUCATION_BACHELORS,27.0
17405,Jasper County,GA,EDUCATION_BACHELORS,6.9
17406,Jasper County,IA,EDUCATION_BACHELORS,13.4
17407,Jasper County,IL,EDUCATION_BACHELORS,11.9
17408,Jasper County,IN,EDUCATION_BACHELORS,10.0
17409,Jasper County,MO,EDUCATION_BACHELORS,16.4
17410,Jasper County,MS,EDUCATION_BACHELORS,9.7
17411,Jasper County,SC,EDUCATION_BACHELORS,11.0
17412,Jasper County,TX,EDUCATION_BACHELORS,7.5
17413,Jay County,IN,EDUCATION_BACHELORS,7.0
17414,Jayuya Municipio,PR,EDUCATION_BACHELORS,12.5
17415,Jeff Davis County,GA,EDUCATION_BACHELORS,6.1
17416,Jeff Davis County,TX,EDUCATION_BACHELORS,16.0
17417,Jefferson County,AL,EDUCATION_BACHELORS,19.8
17418,Jefferson County,AR,EDUCATION_BACHELORS,11.3
17419,Jefferson County,CO,EDUCATION_BACHELORS,27.7
17420,Jefferson County,FL,EDUCATION_BACHELORS,13.4
17421,Jefferson County,GA,EDUCATION_BACHELORS,8.0
17422,Jefferson County,IA,EDUCATION_BACHELORS,16.9
17423,Jefferson County,ID,EDUCATION_BACHELORS,15.6
17424,Jefferson County,IL,EDUCATION_BACHELORS,10.5
17425,Jefferson County,IN,EDUCATION_BACHELORS,11.2
17426,Jefferson County,KS,EDUCATION_BACHELORS,15.4
17427,Jefferson County,KY,EDUCATION_BACHELORS,19.2
17428,Jefferson County,MO,EDUCATION_BACHELORS,13.5
17429,Jefferson County,MS,EDUCATION_BACHELORS,5.4
17430,Jefferson County,MT,EDUCATION_BACHELORS,24.1
17431,Jefferson County,NE,EDUCATION_BACHELORS,12.1
17432,Jefferson County,NY,EDUCATION_BACHELORS,12.9
17433,Jefferson County,OH,EDUCATION_BACHELORS,9.6
17434,Jefferson County,OK,EDUCATION_BACHELORS,10.4
17435,Jefferson County,OR,EDUCATION_BACHELORS,12.2
17436,Jefferson County,PA,EDUCATION_BACHELORS,10.6
17437,Jefferson County,TN,EDUCATION_BACHELORS,9.9
17438,Jefferson County,TX,EDUCATION_BACHELORS,13.3
17439,Jefferson County,WA,EDUCATION_BACHELORS,23.0
17440,Jefferson County,WI,EDUCATION_BACHELORS,17.4
17441,Jefferson County,WV,EDUCATION_BACHELORS,18.8
17442,Jefferson Davis County,MS,EDUCATION_BACHELORS,7.5
17443,Jefferson Davis Parish,LA,EDUCATION_BACHELORS,10.8
17444,Jefferson Parish,LA,EDUCATION_BACHELORS,17.5
17445,Jenkins County,GA,EDUCATION_BACHELORS,5.2
17446,Jennings County,IN,EDUCATION_BACHELORS,7.9
17447,Jerauld County,SD,EDUCATION_BACHELORS,14.9
17448,Jerome County,ID,EDUCATION_BACHELORS,10.7
17449,Jersey County,IL,EDUCATION_BACHELORS,13.1
17450,Jessamine County,KY,EDUCATION_BACHELORS,17.6
17451,Jewell County,KS,EDUCATION_BACHELORS,11.5
17452,Jim Hogg County,TX,EDUCATION_BACHELORS,8.6
17453,Jim Wells County,TX,EDUCATION_BACHELORS,9.9
17454,Jo Daviess County,IL,EDUCATION_BACHELORS,15.8
17455,Johnson County,AR,EDUCATION_BACHELORS,10.3
17456,Johnson County,GA,EDUCATION_BACHELORS,5.8
17457,Johnson County,IA,EDUCATION_BACHELORS,28.0
17458,Johnson County,IL,EDUCATION_BACHELORS,11.6
17459,Johnson County,IN,EDUCATION_BACHELORS,21.3
17460,Johnson County,KS,EDUCATION_BACHELORS,34.3
17461,Johnson County,KY,EDUCATION_BACHELORS,8.6
17462,Johnson County,MO,EDUCATION_BACHELORS,16.7
17463,Johnson County,NE,EDUCATION_BACHELORS,10.9
17464,Johnson County,TN,EDUCATION_BACHELORS,7.7
17465,Johnson County,TX,EDUCATION_BACHELORS,13.1
17466,Johnson County,WY,EDUCATION_BACHELORS,19.4
17467,Johnston County,NC,EDUCATION_BACHELORS,15.6
17468,Johnston County,OK,EDUCATION_BACHELORS,11.1
17469,Jones County,GA,EDUCATION_BACHELORS,12.3
17470,Jones County,IA,EDUCATION_BACHELORS,12.6
17471,Jones County,MS,EDUCATION_BACHELORS,11.8
17472,Jones County,NC,EDUCATION_BACHELORS,9.1
17473,Jones County,SD,EDUCATION_BACHELORS,18.7
17474,Jones County,TX,EDUCATION_BACHELORS,9.0
17475,Josephine County,OR,EDUCATION_BACHELORS,10.6
17476,Juab County,UT,EDUCATION_BACHELORS,10.9
17477,Judith Basin County,MT,EDUCATION_BACHELORS,23.8
17478,Juncos Municipio,PR,EDUCATION_BACHELORS,14.0
17479,Juneau City and Borough,AK,EDUCATION_BACHELORS,25.5
17480,Juneau County,WI,EDUCATION_BACHELORS,9.6
17481,Juniata County,PA,EDUCATION_BACHELORS,8.8
17482,Kalamazoo County,MI,EDUCATION_BACHELORS,22.7
17483,Kalawao County,HI,EDUCATION_BACHELORS,18.8
17484,Kalkaska County,MI,EDUCATION_BACHELORS,7.6
17485,Kanabec County,MN,EDUCATION_BACHELORS,9.5
17486,Kanawha County,WV,EDUCATION_BACHELORS,14.4
17487,Kandiyohi County,MN,EDUCATION_BACHELORS,16.1
17488,Kane County,IL,EDUCATION_BACHELORS,21.2
17489,Kane County,UT,EDUCATION_BACHELORS,15.7
17490,Kankakee County,IL,EDUCATION_BACHELORS,13.1
17491,Karnes County,TX,EDUCATION_BACHELORS,11.1
17492,Kauai County,HI,EDUCATION_BACHELORS,20.4
17493,Kaufman County,TX,EDUCATION_BACHELORS,13.6
17494,Kay County,OK,EDUCATION_BACHELORS,13.6
17495,Kearney County,NE,EDUCATION_BACHELORS,16.0
17496,Kearny County,KS,EDUCATION_BACHELORS,9.9
17497,Keith County,NE,EDUCATION_BACHELORS,14.3
17498,Kemper County,MS,EDUCATION_BACHELORS,6.8
17499,Kenai Peninsula Borough,AK,EDUCATION_BACHELORS,14.5
17500,Kendall County,IL,EDUCATION_BACHELORS,22.2
17501,Kendall County,TX,EDUCATION_BACHELORS,27.9
17502,Kenedy County,TX,EDUCATION_BACHELORS,3.1
17503,Kennebec County,ME,EDUCATION_BACHELORS,16.7
17504,Kenosha County,WI,EDUCATION_BACHELORS,17.0
17505,Kent County,DE,EDUCATION_BACHELORS,14.6
17506,Kent County,MD,EDUCATION_BACHELORS,19.8
17507,Kent County,MI,EDUCATION_BACHELORS,23.2
17508,Kent County,RI,EDUCATION_BACHELORS,20.3
17509,Kent County,TX,EDUCATION_BACHELORS,12.4
17510,Kenton County,KY,EDUCATION_BACHELORS,19.1
17511,Keokuk County,IA,EDUCATION_BACHELORS,13.0
17512,Kern County,CA,EDUCATION_BACHELORS,10.7
17513,Kerr County,TX,EDUCATION_BACHELORS,16.6
17514,Kershaw County,SC,EDUCATION_BACHELORS,12.1
17515,Ketchikan Gateway Borough,AK,EDUCATION_BACHELORS,17.0
17516,Kewaunee County,WI,EDUCATION_BACHELORS,14.9
17517,Keweenaw County,MI,EDUCATION_BACHELORS,17.9
17518,Keya Paha County,NE,EDUCATION_BACHELORS,14.9
17519,Kidder County,ND,EDUCATION_BACHELORS,14.4
17520,Kimball County,NE,EDUCATION_BACHELORS,13.4
17521,Kimble County,TX,EDUCATION_BACHELORS,12.4
17522,King County,TX,EDUCATION_BACHELORS,10.7
17523,King County,WA,EDUCATION_BACHELORS,31.0
17524,King George County,VA,EDUCATION_BACHELORS,21.8
17525,King William County,VA,EDUCATION_BACHELORS,14.5
17526,King and Queen County,VA,EDUCATION_BACHELORS,12.9
17527,Kingfisher County,OK,EDUCATION_BACHELORS,16.0
17528,Kingman County,KS,EDUCATION_BACHELORS,18.1
17529,Kings County,CA,EDUCATION_BACHELORS,9.5
17530,Kings County,NY,EDUCATION_BACHELORS,22.0
17531,Kingsbury County,SD,EDUCATION_BACHELORS,16.4
17532,Kinney County,TX,EDUCATION_BACHELORS,8.2
17533,Kiowa County,CO,EDUCATION_BACHELORS,15.2
17534,Kiowa County,KS,EDUCATION_BACHELORS,19.4
17535,Kiowa County,OK,EDUCATION_BACHELORS,13.8
17536,Kit Carson County,CO,EDUCATION_BACHELORS,12.9
17537,Kitsap County,WA,EDUCATION_BACHELORS,20.7
17538,Kittitas County,WA,EDUCATION_BACHELORS,22.8
17539,Kittson County,MN,EDUCATION_BACHELORS,17.6
17540,Klamath County,OR,EDUCATION_BACHELORS,12.6
17541,Kleberg County,TX,EDUCATION_BACHELORS,17.4
17542,Klickitat County,WA,EDUCATION_BACHELORS,19.1
17543,Knott County,KY,EDUCATION_BACHELORS,5.9
17544,Knox County,IL,EDUCATION_BACHELORS,12.0
17545,Knox County,IN,EDUCATION_BACHELORS,10.3
17546,Knox County,KY,EDUCATION_BACHELORS,5.8
17547,Knox County,ME,EDUCATION_BACHELORS,20.4
17548,Knox County,MO,EDUCATION_BACHELORS,10.9
17549,Knox County,NE,EDUCATION_BACHELORS,15.4
17550,Knox County,OH,EDUCATION_BACHELORS,15.3
17551,Knox County,TN,EDUCATION_BACHELORS,22.1
17552,Knox County,TX,EDUCATION_BACHELORS,13.7
17553,Kodiak Island Borough,AK,EDUCATION_BACHELORS,16.0
17554,Koochiching County,MN,EDUCATION_BACHELORS,11.6
17555,Kootenai County,ID,EDUCATION_BACHELORS,16.8
17556,Kosciusko County,IN,EDUCATION_BACHELORS,14.4
17557,Kossuth County,IA,EDUCATION_BACHELORS,15.0
17558,La Crosse County,WI,EDUCATION_BACHELORS,21.6
17559,La Paz County,AZ,EDUCATION_BACHELORS,8.3
17560,La Plata County,CO,EDUCATION_BACHELORS,27.9
17561,La Salle County,TX,EDUCATION_BACHELORS,9.2
17562,LaGrange County,IN,EDUCATION_BACHELORS,7.8
17563,LaMoure County,ND,EDUCATION_BACHELORS,17.8
17564,LaPorte County,IN,EDUCATION_BACHELORS,11.8
17565,LaSalle County,IL,EDUCATION_BACHELORS,11.9
17566,Labette County,KS,EDUCATION_BACHELORS,11.7
17567,Lac qui Parle County,MN,EDUCATION_BACHELORS,14.0
17568,Lackawanna County,PA,EDUCATION_BACHELORS,17.5
17569,Laclede County,MO,EDUCATION_BACHELORS,10.7
17570,Lafayette County,AR,EDUCATION_BACHELORS,13.0
17571,Lafayette County,FL,EDUCATION_BACHELORS,8.4
17572,Lafayette County,MO,EDUCATION_BACHELORS,12.8
17573,Lafayette County,MS,EDUCATION_BACHELORS,23.9
17574,Lafayette County,WI,EDUCATION_BACHELORS,12.7
17575,Lafayette Parish,LA,EDUCATION_BACHELORS,22.4
17576,Lafourche Parish,LA,EDUCATION_BACHELORS,11.4
17577,Lajas Municipio,PR,EDUCATION_BACHELORS,11.2
17578,Lake County,CA,EDUCATION_BACHELORS,10.3
17579,Lake County,CO,EDUCATION_BACHELORS,26.0
17580,Lake County,FL,EDUCATION_BACHELORS,14.7
17581,Lake County,IL,EDUCATION_BACHELORS,26.3
17582,Lake County,IN,EDUCATION_BACHELORS,14.8
17583,Lake County,MI,EDUCATION_BACHELORS,7.2
17584,Lake County,MN,EDUCATION_BACHELORS,20.1
17585,Lake County,MT,EDUCATION_BACHELORS,18.4
17586,Lake County,OH,EDUCATION_BACHELORS,17.7
17587,Lake County,OR,EDUCATION_BACHELORS,10.0
17588,Lake County,SD,EDUCATION_BACHELORS,23.8
17589,Lake County,TN,EDUCATION_BACHELORS,6.8
17590,Lake and Peninsula Borough,AK,EDUCATION_BACHELORS,8.1
17591,Lake of the Woods County,MN,EDUCATION_BACHELORS,15.8
17592,Lamar County,AL,EDUCATION_BACHELORS,8.3
17593,Lamar County,GA,EDUCATION_BACHELORS,11.3
17594,Lamar County,MS,EDUCATION_BACHELORS,22.2
17595,Lamar County,TX,EDUCATION_BACHELORS,12.5
17596,Lamb County,TX,EDUCATION_BACHELORS,11.4
17597,Lamoille County,VT,EDUCATION_BACHELORS,22.7
17598,Lampasas County,TX,EDUCATION_BACHELORS,13.4
17599,Lancaster County,NE,EDUCATION_BACHELORS,24.7
17600,Lancaster County,PA,EDUCATION_BACHELORS,17.1
17601,Lancaster County,SC,EDUCATION_BACHELORS,17.6
17602,Lancaster County,VA,EDUCATION_BACHELORS,16.1
17603,Lander County,NV,EDUCATION_BACHELORS,4.9
17604,Lane County,KS,EDUCATION_BACHELORS,14.9
17605,Lane County,OR,EDUCATION_BACHELORS,18.0
17606,Langlade County,WI,EDUCATION_BACHELORS,10.1
17607,Lanier County,GA,EDUCATION_BACHELORS,10.8
17608,Lapeer County,MI,EDUCATION_BACHELORS,12.0
17609,Laramie County,WY,EDUCATION_BACHELORS,18.5
17610,Lares Municipio,PR,EDUCATION_BACHELORS,15.1
17611,Larimer County,CO,EDUCATION_BACHELORS,27.6
17612,Larue County,KY,EDUCATION_BACHELORS,4.2
17613,Las Animas County,CO,EDUCATION_BACHELORS,12.6
17614,Las Piedras Municipio,PR,EDUCATION_BACHELORS,14.8
17615,Lassen County,CA,EDUCATION_BACHELORS,8.0
17616,Latah County,ID,EDUCATION_BACHELORS,26.3
17617,Latimer County,OK,EDUCATION_BACHELORS,11.4
17618,Lauderdale County,AL,EDUCATION_BACHELORS,14.8
17619,Lauderdale County,MS,EDUCATION_BACHELORS,12.3
17620,Lauderdale County,TN,EDUCATION_BACHELORS,5.3
17621,Laurel County,KY,EDUCATION_BACHELORS,8.1
17622,Laurens County,GA,EDUCATION_BACHELORS,8.6
17623,Laurens County,SC,EDUCATION_BACHELORS,10.1
17624,Lavaca County,TX,EDUCATION_BACHELORS,12.8
17625,Lawrence County,AL,EDUCATION_BACHELORS,7.7
17626,Lawrence County,AR,EDUCATION_BACHELORS,10.4
17627,Lawrence County,IL,EDUCATION_BACHELORS,9.6
17628,Lawrence County,IN,EDUCATION_BACHELORS,9.7
17629,Lawrence County,KY,EDUCATION_BACHELORS,5.3
17630,Lawrence County,MO,EDUCATION_BACHELORS,10.6
17631,Lawrence County,MS,EDUCATION_BACHELORS,9.0
17632,Lawrence County,OH,EDUCATION_BACHELORS,9.0
17633,Lawrence County,PA,EDUCATION_BACHELORS,14.3
17634,Lawrence County,SD,EDUCATION_BACHELORS,23.7
17635,Lawrence County,TN,EDUCATION_BACHELORS,7.3
17636,Le Flore County,OK,EDUCATION_BACHELORS,9.1
17637,Le Sueur County,MN,EDUCATION_BACHELORS,16.7
17638,Lea County,NM,EDUCATION_BACHELORS,8.0
17639,Leake County,MS,EDUCATION_BACHELORS,8.2
17640,Leavenworth County,KS,EDUCATION_BACHELORS,18.2
17641,Lebanon County,PA,EDUCATION_BACHELORS,12.9
17642,Lee County,AL,EDUCATION_BACHELORS,19.6
17643,Lee County,AR,EDUCATION_BACHELORS,6.7
17644,Lee County,FL,EDUCATION_BACHELORS,17.4
17645,Lee County,GA,EDUCATION_BACHELORS,15.2
17646,Lee County,IA,EDUCATION_BACHELORS,11.3
17647,Lee County,IL,EDUCATION_BACHELORS,10.4
17648,Lee County,KY,EDUCATION_BACHELORS,4.5
17649,Lee County,MS,EDUCATION_BACHELORS,15.3
17650,Lee County,NC,EDUCATION_BACHELORS,14.1
17651,Lee County,SC,EDUCATION_BACHELORS,8.0
17652,Lee County,TX,EDUCATION_BACHELORS,11.1
17653,Lee County,VA,EDUCATION_BACHELORS,8.2
17654,Leelanau County,MI,EDUCATION_BACHELORS,25.2
17655,Leflore County,MS,EDUCATION_BACHELORS,10.7
17656,Lehigh County,PA,EDUCATION_BACHELORS,17.9
17657,Lemhi County,ID,EDUCATION_BACHELORS,14.1
17658,Lenawee County,MI,EDUCATION_BACHELORS,13.8
