,COUNTYNAME,STATE,EDUCATION_LEVEL,PERCENT TOTAL
237,Bond County,IL,EDUCATION_LESS_9TH,2.6
238,Bonner County,ID,EDUCATION_LESS_9TH,2.5
239,Bonneville County,ID,EDUCATION_LESS_9TH,2.9
240,Boone County,AR,EDUCATION_LESS_9TH,4.8
241,Boone County,IA,EDUCATION_LESS_9TH,1.8
242,Boone County,IL,EDUCATION_LESS_9TH,6.3
243,Boone County,IN,EDUCATION_LESS_9TH,2.0
244,Boone County,KY,EDUCATION_LESS_9TH,2.5
245,Boone County,MO,EDUCATION_LESS_9TH,1.7
246,Boone County,NE,EDUCATION_LESS_9TH,2.0
247,Boone County,WV,EDUCATION_LESS_9TH,6.8
248,Borden County,TX,EDUCATION_LESS_9TH,0.4
249,Bosque County,TX,EDUCATION_LESS_9TH,5.7
250,Bossier Parish,LA,EDUCATION_LESS_9TH,3.1
251,Botetourt County,VA,EDUCATION_LESS_9TH,3.5
252,Bottineau County,ND,EDUCATION_LESS_9TH,3.9
253,Boulder County,CO,EDUCATION_LESS_9TH,2.0
254,Boundary County,ID,EDUCATION_LESS_9TH,3.8
255,Bourbon County,KS,EDUCATION_LESS_9TH,3.6
256,Bourbon County,KY,EDUCATION_LESS_9TH,6.6
257,Bowie County,TX,EDUCATION_LESS_9TH,3.7
258,Bowman County,ND,EDUCATION_LESS_9TH,2.8
259,Box Butte County,NE,EDUCATION_LESS_9TH,4.5
260,Box Elder County,UT,EDUCATION_LESS_9TH,1.6
261,Boyd County,KY,EDUCATION_LESS_9TH,3.9
262,Boyd County,NE,EDUCATION_LESS_9TH,2.3
263,Boyle County,KY,EDUCATION_LESS_9TH,4.7
264,Bracken County,KY,EDUCATION_LESS_9TH,6.0
265,Bradford County,FL,EDUCATION_LESS_9TH,6.7
266,Bradford County,PA,EDUCATION_LESS_9TH,3.0
267,Bradley County,AR,EDUCATION_LESS_9TH,6.9
268,Bradley County,TN,EDUCATION_LESS_9TH,6.0
269,Branch County,MI,EDUCATION_LESS_9TH,4.5
270,Brantley County,GA,EDUCATION_LESS_9TH,5.0
271,Braxton County,WV,EDUCATION_LESS_9TH,7.3
272,Brazoria County,TX,EDUCATION_LESS_9TH,5.6
273,Brazos County,TX,EDUCATION_LESS_9TH,6.6
274,Breathitt County,KY,EDUCATION_LESS_9TH,11.1
275,Breckinridge County,KY,EDUCATION_LESS_9TH,6.5
276,Bremer County,IA,EDUCATION_LESS_9TH,1.8
277,Brevard County,FL,EDUCATION_LESS_9TH,2.3
278,Brewster County,TX,EDUCATION_LESS_9TH,6.1
279,Briscoe County,TX,EDUCATION_LESS_9TH,6.1
280,Bristol Bay Borough,AK,EDUCATION_LESS_9TH,2.9
281,Bristol County,MA,EDUCATION_LESS_9TH,7.9
282,Bristol County,RI,EDUCATION_LESS_9TH,3.6
283,Bristol city,VA,EDUCATION_LESS_9TH,3.8
284,Broadwater County,MT,EDUCATION_LESS_9TH,1.8
285,Bronx County,NY,EDUCATION_LESS_9TH,14.2
286,Brooke County,WV,EDUCATION_LESS_9TH,2.7
287,Brookings County,SD,EDUCATION_LESS_9TH,1.4
288,Brooks County,GA,EDUCATION_LESS_9TH,6.0
289,Brooks County,TX,EDUCATION_LESS_9TH,15.1
290,Broome County,NY,EDUCATION_LESS_9TH,2.7
291,Broomfield County,CO,EDUCATION_LESS_9TH,1.6
292,Broward County,FL,EDUCATION_LESS_9TH,4.8
293,Brown County,IL,EDUCATION_LESS_9TH,3.3
294,Brown County,IN,EDUCATION_LESS_9TH,2.0
295,Brown County,KS,EDUCATION_LESS_9TH,2.0
296,Brown County,MN,EDUCATION_LESS_9TH,2.7
297,Brown County,NE,EDUCATION_LESS_9TH,3.0
298,Brown County,OH,EDUCATION_LESS_9TH,3.3
299,Brown County,SD,EDUCATION_LESS_9TH,3.3
300,Brown County,TX,EDUCATION_LESS_9TH,6.0
301,Brown County,WI,EDUCATION_LESS_9TH,3.2
302,Brule County,SD,EDUCATION_LESS_9TH,8.7
303,Brunswick County,NC,EDUCATION_LESS_9TH,2.6
304,Brunswick County,VA,EDUCATION_LESS_9TH,5.6
305,Bryan County,GA,EDUCATION_LESS_9TH,2.8
306,Bryan County,OK,EDUCATION_LESS_9TH,3.9
307,Buchanan County,IA,EDUCATION_LESS_9TH,3.2
308,Buchanan County,MO,EDUCATION_LESS_9TH,3.8
309,Buchanan County,VA,EDUCATION_LESS_9TH,13.4
310,Buckingham County,VA,EDUCATION_LESS_9TH,9.5
311,Bucks County,PA,EDUCATION_LESS_9TH,1.9
312,Buena Vista County,IA,EDUCATION_LESS_9TH,13.4
313,Buena Vista city,VA,EDUCATION_LESS_9TH,7.2
314,Buffalo County,NE,EDUCATION_LESS_9TH,2.5
315,Buffalo County,SD,EDUCATION_LESS_9TH,4.0
316,Buffalo County,WI,EDUCATION_LESS_9TH,2.7
317,Bullitt County,KY,EDUCATION_LESS_9TH,3.5
318,Bulloch County,GA,EDUCATION_LESS_9TH,3.6
319,Bullock County,AL,EDUCATION_LESS_9TH,4.9
320,Buncombe County,NC,EDUCATION_LESS_9TH,3.0
321,Bureau County,IL,EDUCATION_LESS_9TH,2.2
322,Burke County,GA,EDUCATION_LESS_9TH,6.0
323,Burke County,NC,EDUCATION_LESS_9TH,7.3
324,Burke County,ND,EDUCATION_LESS_9TH,3.3
325,Burleigh County,ND,EDUCATION_LESS_9TH,2.6
326,Burleson County,TX,EDUCATION_LESS_9TH,6.1
327,Burlington County,NJ,EDUCATION_LESS_9TH,2.1
328,Burnet County,TX,EDUCATION_LESS_9TH,4.8
329,Burnett County,WI,EDUCATION_LESS_9TH,1.5
330,Burt County,NE,EDUCATION_LESS_9TH,2.8
331,Butler County,AL,EDUCATION_LESS_9TH,4.2
332,Butler County,IA,EDUCATION_LESS_9TH,2.3
333,Butler County,KS,EDUCATION_LESS_9TH,2.0
334,Butler County,KY,EDUCATION_LESS_9TH,11.0
335,Butler County,MO,EDUCATION_LESS_9TH,5.4
336,Butler County,NE,EDUCATION_LESS_9TH,2.8
337,Butler County,OH,EDUCATION_LESS_9TH,2.8
338,Butler County,PA,EDUCATION_LESS_9TH,1.4
339,Butte County,CA,EDUCATION_LESS_9TH,3.9
340,Butte County,ID,EDUCATION_LESS_9TH,1.0
341,Butte County,SD,EDUCATION_LESS_9TH,2.4
342,Butts County,GA,EDUCATION_LESS_9TH,4.6
343,Cabarrus County,NC,EDUCATION_LESS_9TH,3.5
344,Cabell County,WV,EDUCATION_LESS_9TH,3.7
345,Cabo Rojo Municipio,PR,EDUCATION_LESS_9TH,19.3
346,Cache County,UT,EDUCATION_LESS_9TH,3.2
347,Caddo County,OK,EDUCATION_LESS_9TH,4.7
348,Caddo Parish,LA,EDUCATION_LESS_9TH,3.8
349,Caguas Municipio,PR,EDUCATION_LESS_9TH,12.2
350,Calaveras County,CA,EDUCATION_LESS_9TH,3.3
351,Calcasieu Parish,LA,EDUCATION_LESS_9TH,4.4
352,Caldwell County,KY,EDUCATION_LESS_9TH,4.3
353,Caldwell County,MO,EDUCATION_LESS_9TH,2.9
354,Caldwell County,NC,EDUCATION_LESS_9TH,7.0
355,Caldwell County,TX,EDUCATION_LESS_9TH,9.8
356,Caldwell Parish,LA,EDUCATION_LESS_9TH,7.5
357,Caledonia County,VT,EDUCATION_LESS_9TH,2.5
358,Calhoun County,AL,EDUCATION_LESS_9TH,5.1
359,Calhoun County,AR,EDUCATION_LESS_9TH,3.8
360,Calhoun County,FL,EDUCATION_LESS_9TH,7.4
361,Calhoun County,GA,EDUCATION_LESS_9TH,8.0
362,Calhoun County,IA,EDUCATION_LESS_9TH,2.2
363,Calhoun County,IL,EDUCATION_LESS_9TH,4.0
364,Calhoun County,MI,EDUCATION_LESS_9TH,2.6
365,Calhoun County,MS,EDUCATION_LESS_9TH,7.7
366,Calhoun County,SC,EDUCATION_LESS_9TH,4.4
367,Calhoun County,TX,EDUCATION_LESS_9TH,8.9
368,Calhoun County,WV,EDUCATION_LESS_9TH,7.8
369,Callahan County,TX,EDUCATION_LESS_9TH,3.8
370,Callaway County,MO,EDUCATION_LESS_9TH,3.8
371,Calloway County,KY,EDUCATION_LESS_9TH,4.6
372,Calumet County,WI,EDUCATION_LESS_9TH,2.3
373,Calvert County,MD,EDUCATION_LESS_9TH,1.5
374,Camas County,ID,EDUCATION_LESS_9TH,4.3
375,Cambria County,PA,EDUCATION_LESS_9TH,2.7
376,Camden County,GA,EDUCATION_LESS_9TH,1.9
377,Camden County,MO,EDUCATION_LESS_9TH,2.7
